Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,7.222,37.181,297.986,5145,0.004
TransportBrain,7.029,71.365,288.888,5148,0.010
TransportBrain,7.085,105.380,284.899,5154,0.012
TransportBrain,7.366,138.678,270.974,5126,0.021
TransportBrain,6.782,172.581,283.291,5130,0.053
TransportBrain,7.315,206.569,284.801,5133,0.101
TransportBrain,7.099,239.854,279.657,5126,0.137
TransportBrain,7.183,273.092,272.270,5142,0.184
TransportBrain,6.768,306.187,274.512,5143,0.209
TransportBrain,6.854,340.064,286.444,5135,0.337
TransportBrain,7.015,374.347,295.645,5124,0.525
TransportBrain,7.075,408.987,300.670,5134,0.627
TransportBrain,6.774,443.031,290.800,5130,0.543
TransportBrain,6.953,476.930,289.987,5151,0.763
TransportBrain,6.951,511.538,289.437,5146,0.928
TransportBrain,6.949,545.951,295.915,5134,0.871
TransportBrain,6.975,579.558,283.587,5132,1.382
TransportBrain,6.978,613.396,284.824,5123,1.735
TransportBrain,6.989,647.242,276.190,5127,1.993
TransportBrain,6.886,681.559,295.346,5123,1.996
TransportBrain,6.935,716.185,292.282,5137,2.211
TransportBrain,6.745,749.684,280.558,5134,2.771
TransportBrain,7.076,784.368,297.751,5140,2.671
TransportBrain,7.022,819.068,298.313,5162,3.171
TransportBrain,6.797,853.155,289.890,5128,3.268
TransportBrain,6.846,888.047,299.054,5124,3.889
TransportBrain,6.933,922.424,290.399,5150,4.130
TransportBrain,6.670,955.435,274.607,5124,4.227
TransportBrain,6.786,988.925,278.568,5121,4.298
TransportBrain,6.741,1022.988,290.545,5125,4.011
TransportBrain,6.658,1057.159,292.374,5122,4.693
TransportBrain,6.872,1091.914,302.327,5126,4.549
TransportBrain,6.743,1126.774,302.353,5127,5.019
TransportBrain,6.660,1160.599,289.395,5126,4.963
TransportBrain,6.394,1192.618,263.119,5124,5.140
TransportBrain,6.230,1226.110,293.468,5125,5.690
TransportBrain,6.293,1259.249,287.034,5121,5.964
TransportBrain,6.206,1291.830,280.569,5133,6.033
TransportBrain,6.203,1323.592,263.339,5124,6.281
TransportBrain,6.304,1355.964,274.917,5123,6.406
TransportBrain,6.176,1388.053,271.466,5134,6.640
TransportBrain,6.143,1419.212,257.817,5123,6.590
TransportBrain,6.265,1449.791,247.122,5130,6.682
TransportBrain,6.176,1481.955,271.860,5128,6.538
TransportBrain,6.329,1515.297,289.594,5127,6.778
TransportBrain,6.313,1547.096,269.942,5121,6.873
TransportBrain,6.214,1578.739,266.989,5128,7.226
TransportBrain,6.233,1611.462,284.512,5125,7.344
TransportBrain,6.354,1644.247,282.088,5132,7.053
TransportBrain,6.238,1676.674,272.918,5129,7.414
TransportBrain,5.885,1707.356,259.942,5157,7.364
TransportBrain,5.773,1735.916,228.525,5125,7.373
TransportBrain,5.965,1763.329,200.432,5121,7.396
TransportBrain,5.635,1790.225,200.346,5128,7.323
TransportBrain,6.181,1822.572,278.131,5125,7.431
TransportBrain,6.297,1854.946,274.576,5128,7.550
TransportBrain,6.048,1887.310,277.879,5127,7.636
TransportBrain,6.201,1920.443,291.263,5125,7.397
TransportBrain,6.107,1952.694,275.375,5121,7.484
TransportBrain,6.371,1985.998,286.198,5133,7.568
TransportBrain,6.196,2019.447,289.388,5123,7.614
TransportBrain,6.112,2052.198,276.002,5121,7.607
TransportBrain,6.114,2084.872,276.064,5125,7.684
TransportBrain,6.234,2117.036,269.279,5127,7.566
TransportBrain,5.918,2148.643,267.185,5133,7.625
TransportBrain,6.288,2178.666,239.320,5123,7.699
TransportBrain,6.324,2211.938,288.616,5126,7.725
TransportBrain,6.210,2245.510,292.370,5124,7.735
TransportBrain,6.122,2278.524,283.927,5126,7.812
TransportBrain,5.794,2306.823,215.863,5126,7.938
TransportBrain,5.724,2334.507,211.549,5121,7.725
TransportBrain,6.288,2363.675,222.148,5127,7.886
TransportBrain,6.121,2396.056,278.736,5124,7.754
TransportBrain,6.037,2427.043,254.927,5130,7.957
TransportBrain,5.956,2457.819,251.509,5127,7.966
TransportBrain,6.449,2490.244,262.865,5132,8.105
TransportBrain,6.196,2523.949,295.066,5124,8.064
TransportBrain,6.415,2557.974,286.214,5125,7.882
TransportBrain,6.254,2591.938,294.960,5121,8.083
TransportBrain,6.236,2625.825,294.483,5131,8.067
