Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,15.650,4585.725,218.376,5128,7.467
TransportBrain,16.695,4625.565,227.401,5122,7.499
TransportBrain,16.477,4666.660,252.188,5144,7.577
TransportBrain,15.672,4705.169,231.935,5129,7.436
TransportBrain,15.787,4743.454,224.297,5144,7.658
TransportBrain,17.408,4786.933,274.215,5134,7.717
TransportBrain,16.795,4829.849,276.827,5130,7.589
TransportBrain,15.523,4867.034,209.537,5128,7.700
TransportBrain,17.178,4906.021,211.633,5121,7.709
TransportBrain,16.665,4946.804,242.691,5128,7.728
TransportBrain,16.352,4987.598,252.267,5121,7.791
TransportBrain,15.662,5025.644,222.344,5127,7.721
TransportBrain,17.114,5065.713,235.306,5125,7.712
TransportBrain,17.444,5109.186,272.165,5123,7.724
TransportBrain,15.640,5150.345,265.046,5131,7.788
TransportBrain,16.025,5188.647,216.243,5136,7.829
TransportBrain,16.458,5227.952,227.501,5129,7.810
TransportBrain,16.536,5269.133,254.082,5136,7.840
TransportBrain,15.472,5307.476,223.917,5128,7.835
TransportBrain,15.535,5345.285,217.594,5125,7.896
TransportBrain,17.693,5385.748,226.974,5121,7.801
TransportBrain,17.589,5429.687,273.417,5126,7.931
TransportBrain,15.776,5469.461,235.475,5132,7.886
TransportBrain,15.949,5507.899,218.012,5128,7.955
TransportBrain,16.784,5547.865,230.053,5126,7.858
TransportBrain,16.361,5588.531,245.762,5127,7.909
TransportBrain,15.715,5628.421,239.833,5123,7.920
TransportBrain,15.792,5666.871,229.045,5122,7.896
TransportBrain,17.600,5706.686,216.781,5121,7.924
TransportBrain,17.587,5750.531,278.042,5121,7.816
TransportBrain,15.558,5791.126,253.774,5126,7.935
TransportBrain,15.861,5829.382,219.622,5124,7.932
TransportBrain,16.558,5869.666,235.831,5130,7.949
TransportBrain,16.501,5910.345,245.462,5131,7.944
TransportBrain,15.494,5948.637,226.461,5123,7.881
TransportBrain,15.714,5986.974,225.918,5128,8.017
TransportBrain,17.717,6029.322,254.064,5137,7.939
TransportBrain,17.463,6073.828,291.910,5137,7.926
TransportBrain,15.549,6111.844,220.777,5131,7.964
TransportBrain,15.750,6150.661,223.403,5122,7.895
TransportBrain,16.539,6191.406,249.014,5128,8.016
TransportBrain,16.507,6232.962,257.383,5123,8.002
TransportBrain,15.717,6271.519,228.001,5121,8.073
TransportBrain,15.869,6310.524,238.980,5122,8.053
TransportBrain,17.721,6354.124,266.517,5124,8.014
TransportBrain,16.531,6396.931,270.480,5121,8.062
TransportBrain,15.473,6435.074,222.212,5125,8.051
TransportBrain,16.488,6474.219,223.070,5124,8.032
TransportBrain,16.604,6515.678,256.607,5123,8.034
TransportBrain,15.940,6555.739,240.646,5140,7.982
TransportBrain,15.453,6593.703,225.990,5128,8.053
