Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,5.371,51.524,439.509,10248,0.002
TransportBrain,5.205,99.130,408.464,10257,0.007
TransportBrain,4.981,145.583,402.230,10278,0.024
TransportBrain,5.187,192.852,410.727,10270,0.061
TransportBrain,5.044,240.257,412.039,10252,0.073
TransportBrain,5.317,291.312,465.410,10283,0.081
TransportBrain,5.178,339.721,424.167,10252,0.142
TransportBrain,5.046,388.898,438.392,10256,0.228
TransportBrain,5.041,437.590,437.138,10247,0.394
TransportBrain,5.126,485.349,418.823,10255,0.366
TransportBrain,5.051,533.607,434.099,10254,0.384
TransportBrain,5.188,585.356,477.382,10253,0.437
TransportBrain,5.255,639.373,502.351,10260,0.661
TransportBrain,5.143,689.849,451.778,10261,0.779
TransportBrain,5.579,736.900,398.055,10247,1.020
TransportBrain,5.029,788.367,474.808,10246,1.091
TransportBrain,5.171,836.611,431.456,10244,1.207
TransportBrain,5.318,891.275,522.635,10269,1.382
TransportBrain,5.052,945.567,519.256,10241,1.572
TransportBrain,5.048,994.740,429.201,10245,1.633
TransportBrain,5.396,1045.387,457.224,10248,1.927
TransportBrain,5.048,1095.571,445.820,10262,2.317
TransportBrain,5.049,1145.612,443.716,10268,2.465
TransportBrain,5.014,1194.831,435.761,10247,2.845
TransportBrain,5.228,1244.623,435.958,10250,2.978
TransportBrain,5.151,1297.217,477.533,10245,3.315
TransportBrain,5.018,1349.394,473.526,10245,3.395
TransportBrain,5.023,1400.194,456.437,10261,3.780
TransportBrain,4.963,1451.572,468.846,10242,3.970
TransportBrain,4.999,1500.801,433.224,10250,4.227
TransportBrain,5.193,1552.953,483.332,10241,4.393
TransportBrain,5.434,1606.760,493.749,10241,4.864
TransportBrain,5.209,1660.314,498.895,10246,4.954
TransportBrain,5.374,1711.254,447.889,10241,5.274
TransportBrain,4.965,1762.179,462.321,10251,5.329
TransportBrain,5.131,1812.818,448.077,10252,5.454
TransportBrain,5.339,1864.726,470.844,10258,5.754
TransportBrain,5.316,1919.311,503.148,10260,5.699
TransportBrain,5.262,1973.512,503.403,10246,6.175
TransportBrain,5.006,2025.078,462.420,10246,5.876
TransportBrain,5.082,2077.323,480.292,10246,6.262
TransportBrain,4.998,2128.333,465.518,10244,6.291
TransportBrain,5.059,2179.832,468.403,10247,6.613
TransportBrain,5.216,2235.096,517.709,10242,6.595
TransportBrain,5.045,2288.595,493.875,10251,6.765
TransportBrain,5.080,2340.435,471.272,10260,6.640
TransportBrain,5.095,2391.956,463.662,10247,6.898
TransportBrain,5.075,2443.498,468.287,10244,6.807
TransportBrain,5.123,2496.412,484.538,10250,6.858
TransportBrain,5.225,2551.453,510.615,10243,7.115
TransportBrain,5.059,2605.197,498.232,10266,7.076
TransportBrain,4.956,2657.441,472.540,10268,7.169
TransportBrain,5.165,2709.904,468.085,10244,7.140
TransportBrain,4.988,2761.441,465.562,10250,7.255
TransportBrain,5.294,2815.317,492.483,10243,7.264
TransportBrain,5.051,2871.117,525.950,10252,7.261
TransportBrain,5.005,2925.320,500.578,10242,7.306
TransportBrain,5.068,2978.013,477.779,10252,7.308
TransportBrain,5.062,3030.478,478.247,10248,7.453
TransportBrain,5.006,3082.659,470.328,10243,7.465
TransportBrain,5.178,3138.805,529.650,10252,7.593
TransportBrain,5.081,3194.578,525.889,10247,7.660
TransportBrain,5.410,3247.871,480.435,10257,7.606
TransportBrain,5.158,3301.442,488.197,10243,7.596
TransportBrain,5.132,3354.285,475.069,10249,7.794
TransportBrain,5.062,3407.418,484.627,10255,7.798
TransportBrain,5.248,3463.308,521.119,10246,7.771
TransportBrain,5.312,3519.598,519.935,10241,7.810
TransportBrain,5.102,3572.912,483.275,10242,7.796
TransportBrain,5.049,3626.519,487.211,10245,7.925
TransportBrain,5.028,3678.801,461.378,10245,7.907
TransportBrain,5.086,3733.007,499.550,10245,7.856
TransportBrain,5.064,3789.044,519.418,10246,7.970
TransportBrain,5.137,3843.663,497.196,10249,8.061
