Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,2.656,26.616,222.010,5134,0.003
TransportBrain,2.622,51.781,228.638,5167,0.007
TransportBrain,2.711,77.762,245.435,5124,0.026
TransportBrain,2.598,103.850,244.204,5133,0.030
TransportBrain,2.632,130.115,243.814,5133,0.105
TransportBrain,2.612,157.145,252.873,5129,0.084
TransportBrain,2.568,184.485,265.301,5123,0.101
TransportBrain,2.496,207.625,201.616,5141,0.139
TransportBrain,2.535,230.847,203.847,5130,0.154
TransportBrain,2.502,254.465,205.240,5130,0.128
TransportBrain,2.543,278.607,207.385,5124,0.167
TransportBrain,2.478,303.351,222.624,5124,0.271
TransportBrain,2.548,328.210,227.416,5136,0.251
TransportBrain,2.680,354.442,242.642,5128,0.264
TransportBrain,2.774,381.744,263.331,5125,0.306
TransportBrain,2.666,409.000,264.150,5128,0.420
TransportBrain,2.550,435.596,247.601,5123,0.638
TransportBrain,2.624,463.197,265.610,5122,0.498
TransportBrain,2.505,489.843,245.678,5140,0.629
TransportBrain,2.578,513.122,201.787,5142,0.747
TransportBrain,2.559,535.838,190.311,5125,0.621
TransportBrain,2.502,558.953,197.838,5147,1.109
TransportBrain,2.659,582.592,203.876,5134,1.033
TransportBrain,2.561,607.589,226.133,5143,1.157
TransportBrain,2.572,632.981,236.243,5140,1.316
TransportBrain,2.715,657.497,211.625,5128,1.314
TransportBrain,2.821,684.880,254.000,5136,1.548
TransportBrain,2.703,712.235,260.621,5124,1.689
TransportBrain,2.513,739.848,262.392,5123,1.703
TransportBrain,2.579,767.830,267.299,5123,1.748
TransportBrain,2.548,795.242,260.257,5132,1.991
TransportBrain,2.607,819.844,220.642,5138,2.364
TransportBrain,2.565,842.211,183.432,5132,2.160
TransportBrain,2.518,865.604,201.436,5144,2.399
TransportBrain,2.561,890.713,224.765,5125,2.595
TransportBrain,2.627,915.837,219.006,5129,2.670
TransportBrain,2.641,941.455,230.077,5139,3.262
TransportBrain,2.724,967.122,234.558,5141,3.021
TransportBrain,2.745,995.225,271.837,5123,2.930
TransportBrain,2.696,1023.211,267.815,5123,3.064
TransportBrain,2.489,1051.073,274.216,5145,3.473
TransportBrain,2.545,1075.704,221.299,5121,3.677
TransportBrain,2.456,1100.582,220.657,5137,3.784
TransportBrain,2.515,1125.183,210.646,5126,3.556
TransportBrain,2.710,1150.637,217.236,5154,3.722
TransportBrain,2.570,1176.724,228.328,5136,3.936
TransportBrain,2.557,1203.465,237.699,5130,3.804
TransportBrain,2.509,1230.942,257.669,5124,4.098
TransportBrain,2.571,1259.102,270.845,5130,4.103
TransportBrain,2.598,1285.583,243.682,5138,4.438
TransportBrain,2.559,1309.824,211.356,5125,4.705
TransportBrain,2.522,1334.087,213.446,5134,4.839
TransportBrain,2.663,1360.216,238.551,5133,4.759
TransportBrain,2.585,1388.356,269.179,5127,5.065
TransportBrain,2.703,1416.843,275.497,5121,4.978
TransportBrain,2.572,1444.987,267.242,5128,5.312
TransportBrain,2.519,1474.466,287.095,5132,5.053
TransportBrain,2.580,1503.577,283.163,5128,5.107
TransportBrain,2.594,1527.804,209.235,5139,5.414
TransportBrain,2.507,1552.163,212.285,5129,5.842
TransportBrain,2.462,1576.311,210.239,5121,5.417
TransportBrain,2.614,1603.482,250.084,5133,5.665
TransportBrain,2.531,1629.688,237.875,5128,5.452
TransportBrain,2.591,1656.153,241.309,5133,5.888
TransportBrain,2.583,1685.337,282.473,5134,5.748
TransportBrain,2.788,1714.840,287.525,5132,6.116
TransportBrain,2.676,1743.985,281.256,5121,6.143
TransportBrain,2.557,1772.602,272.730,5131,5.920
TransportBrain,2.582,1801.952,285.326,5124,5.995
TransportBrain,2.449,1826.788,220.629,5143,6.328
TransportBrain,2.536,1851.320,213.790,5123,6.332
TransportBrain,2.426,1875.654,215.892,5137,6.343
TransportBrain,2.516,1901.963,239.621,5124,6.435
TransportBrain,2.526,1928.911,251.390,5124,6.583
TransportBrain,2.582,1955.445,241.135,5131,6.463
TransportBrain,2.602,1983.863,273.021,5121,6.644
TransportBrain,2.562,2013.206,286.092,5126,6.848
TransportBrain,2.710,2042.838,289.780,5126,6.545
TransportBrain,2.711,2072.208,279.540,5135,6.831
TransportBrain,2.656,2100.780,270.832,5127,6.870
TransportBrain,2.569,2127.868,249.290,5129,6.748
TransportBrain,2.518,2152.289,214.667,5131,6.985
TransportBrain,2.477,2176.933,219.879,5124,6.896
TransportBrain,2.555,2202.715,229.983,5134,7.074
TransportBrain,2.534,2229.653,251.585,5152,7.051
TransportBrain,2.517,2256.812,255.213,5150,7.085
TransportBrain,2.707,2284.329,253.310,5130,7.125
TransportBrain,2.728,2314.153,293.210,5125,7.077
TransportBrain,2.679,2343.735,290.499,5123,7.055
TransportBrain,2.619,2373.775,298.197,5125,7.359
TransportBrain,2.701,2403.397,284.537,5125,7.341
TransportBrain,2.512,2431.304,269.021,5139,7.048
TransportBrain,2.594,2455.813,212.155,5123,7.305
TransportBrain,2.682,2480.648,218.350,5124,7.458
TransportBrain,2.632,2505.319,212.324,5122,7.383
TransportBrain,2.666,2532.704,252.790,5132,7.479
TransportBrain,2.574,2559.551,250.201,5130,7.436
TransportBrain,2.799,2585.857,237.204,5130,7.437
TransportBrain,2.681,2615.275,287.667,5121,7.494
TransportBrain,2.719,2645.194,292.617,5149,7.507
TransportBrain,2.540,2674.398,278.722,5126,7.618
TransportBrain,2.556,2704.044,290.326,5131,7.449
TransportBrain,2.490,2733.818,298.873,5128,7.483
TransportBrain,2.469,2758.559,219.479,5122,7.553
TransportBrain,2.557,2783.179,218.103,5123,7.663
TransportBrain,2.574,2807.546,213.571,5126,7.702
TransportBrain,2.622,2834.297,241.517,5131,7.770
TransportBrain,2.611,2861.831,262.757,5131,7.590
TransportBrain,2.558,2888.434,245.281,5124,7.739
TransportBrain,2.770,2918.567,296.601,5121,7.734
TransportBrain,2.767,2948.316,292.846,5126,7.659
TransportBrain,2.549,2977.705,288.499,5126,7.614
TransportBrain,2.671,3007.185,286.468,5130,7.763
TransportBrain,2.595,3036.184,275.218,5135,7.618
TransportBrain,2.602,3062.043,230.734,5131,7.748
TransportBrain,2.513,3086.397,214.845,5122,7.869
TransportBrain,2.585,3111.037,213.069,5129,7.670
TransportBrain,2.716,3137.825,241.172,5132,7.774
TransportBrain,2.631,3165.045,254.585,5130,7.835
TransportBrain,2.690,3192.309,252.478,5127,7.778
TransportBrain,2.697,3221.800,287.060,5121,7.830
TransportBrain,2.621,3251.079,286.158,5132,7.740
TransportBrain,2.433,3280.505,288.716,5137,7.757
TransportBrain,2.776,3310.234,283.060,5125,7.802
TransportBrain,2.548,3339.822,289.009,5121,7.785
TransportBrain,2.615,3366.145,239.711,5123,7.987
TransportBrain,2.479,3390.654,215.825,5133,7.950
TransportBrain,2.583,3415.067,208.358,5129,7.907
TransportBrain,2.642,3441.331,234.975,5127,7.917
TransportBrain,2.583,3470.166,278.359,5126,7.875
TransportBrain,2.537,3497.051,251.707,5124,7.958
TransportBrain,2.507,3524.153,257.214,5126,7.960
