Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,10.178,36.413,256.568,5140,0.005
TransportBrain,10.140,70.359,244.853,5130,0.022
TransportBrain,11.293,106.959,265.661,5135,0.022
TransportBrain,10.267,143.932,291.899,5147,0.017
TransportBrain,9.963,175.887,224.323,5127,0.025
TransportBrain,9.424,207.208,218.530,5146,0.122
TransportBrain,9.447,238.442,220.355,5132,0.100
TransportBrain,9.297,269.870,226.670,5136,0.247
TransportBrain,9.208,300.034,204.264,5136,0.226
TransportBrain,9.782,330.481,197.504,5136,0.306
TransportBrain,9.799,360.402,191.268,5142,0.460
TransportBrain,10.690,390.699,183.486,5130,0.447
TransportBrain,10.622,424.670,241.113,5146,0.609
TransportBrain,9.807,454.613,194.632,5126,0.725
TransportBrain,9.991,488.089,242.657,5123,0.948
TransportBrain,9.872,521.874,251.108,5129,1.266
TransportBrain,10.113,555.792,249.512,5140,0.990
TransportBrain,9.871,589.894,252.163,5129,1.531
TransportBrain,10.068,624.128,250.948,5146,1.397
TransportBrain,10.190,658.023,239.230,5140,1.711
TransportBrain,9.475,691.790,257.529,5127,2.160
TransportBrain,9.386,723.933,229.729,5124,2.211
TransportBrain,9.335,755.400,222.710,5133,2.530
TransportBrain,9.258,786.731,227.317,5124,2.744
TransportBrain,9.260,818.435,225.668,5122,2.942
TransportBrain,9.720,851.452,240.535,5128,3.575
TransportBrain,9.837,882.384,205.517,5136,3.630
TransportBrain,9.847,912.928,194.776,5147,4.145
TransportBrain,9.848,943.737,200.737,5121,4.277
TransportBrain,9.938,975.113,209.058,5144,4.626
TransportBrain,10.353,1007.557,215.029,5124,4.331
TransportBrain,10.201,1042.522,263.241,5124,4.809
TransportBrain,9.939,1077.483,264.553,5126,5.064
TransportBrain,9.995,1113.132,275.559,5131,5.607
TransportBrain,9.659,1148.027,265.148,5128,5.466
TransportBrain,9.244,1180.181,231.436,5139,5.720
TransportBrain,9.358,1212.075,222.239,5134,5.833
TransportBrain,9.272,1244.589,239.680,5135,6.064
TransportBrain,9.219,1276.968,237.279,5134,6.046
TransportBrain,9.507,1309.813,238.519,5125,6.497
TransportBrain,10.025,1340.928,198.908,5129,6.345
TransportBrain,9.886,1372.157,205.419,5130,6.426
TransportBrain,9.816,1403.196,207.363,5124,6.519
TransportBrain,9.879,1434.814,207.036,5136,6.734
TransportBrain,9.725,1466.878,221.960,5126,6.751
TransportBrain,10.038,1497.975,200.731,5136,7.042
TransportBrain,10.182,1534.027,272.166,5139,6.988
TransportBrain,10.061,1570.004,279.215,5124,7.102
TransportBrain,10.130,1605.689,272.502,5122,7.133
TransportBrain,9.948,1641.836,279.791,5142,7.259
TransportBrain,9.434,1675.501,247.322,5122,7.257
TransportBrain,9.385,1708.539,241.124,5122,7.228
TransportBrain,9.335,1741.087,232.860,5146,7.376
TransportBrain,9.458,1774.790,246.642,5127,7.364
TransportBrain,9.948,1807.356,223.610,5127,7.469
TransportBrain,9.952,1839.573,217.572,5140,7.333
TransportBrain,9.726,1872.266,229.891,5126,7.439
TransportBrain,9.829,1904.498,220.762,5126,7.501
TransportBrain,9.845,1936.034,208.794,5137,7.303
TransportBrain,10.077,1972.130,273.232,5126,7.318
TransportBrain,10.056,2008.812,285.951,5124,7.510
TransportBrain,9.920,2045.061,281.263,5132,7.550
TransportBrain,10.124,2081.561,279.742,5126,7.631
TransportBrain,9.250,2114.769,242.445,5122,7.687
TransportBrain,9.240,2148.498,255.942,5130,7.778
TransportBrain,9.207,2180.671,224.909,5129,7.597
TransportBrain,9.481,2213.942,242.662,5131,7.805
TransportBrain,9.319,2247.454,247.760,5127,7.871
TransportBrain,9.207,2281.002,254.343,5124,7.834
TransportBrain,9.787,2314.224,234.926,5133,7.910
TransportBrain,9.852,2346.776,221.721,5126,7.798
TransportBrain,9.979,2379.251,220.473,5126,7.851
TransportBrain,10.065,2410.358,196.555,5127,7.929
TransportBrain,9.892,2443.069,224.135,5126,7.961
TransportBrain,9.674,2475.923,230.237,5138,7.991
TransportBrain,9.934,2512.485,285.636,5123,7.998
TransportBrain,10.065,2549.063,284.139,5123,7.977
TransportBrain,9.862,2585.227,276.012,5129,8.020
TransportBrain,9.976,2622.166,287.027,5136,7.977
TransportBrain,9.827,2658.450,278.854,5121,7.998
TransportBrain,10.108,2695.276,286.022,5125,7.938
TransportBrain,10.030,2732.201,294.114,5126,8.086
TransportBrain,9.859,2768.578,283.326,5131,8.040
TransportBrain,9.246,2802.411,254.170,5122,8.043
TransportBrain,9.206,2835.745,247.958,5122,8.044
TransportBrain,9.564,2871.570,276.537,5131,8.137
