Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,9.844,35.538,241.637,5140,0.003
TransportBrain,9.692,67.405,225.216,5126,0.007
TransportBrain,9.100,96.692,190.021,5136,0.026
TransportBrain,10.432,129.571,226.256,5153,0.014
TransportBrain,10.450,163.276,242.275,5143,0.027
TransportBrain,10.058,197.270,254.963,5149,0.080
TransportBrain,10.084,231.321,246.798,5146,0.048
TransportBrain,9.922,266.269,274.629,5148,0.052
TransportBrain,10.046,297.754,222.520,5169,0.127
TransportBrain,10.134,331.210,247.931,5123,0.175
TransportBrain,10.227,364.624,248.533,5126,0.161
TransportBrain,9.653,397.582,241.708,5143,0.142
TransportBrain,9.669,429.155,221.749,5128,0.268
TransportBrain,9.294,460.724,231.307,5142,0.284
TransportBrain,10.165,493.893,240.922,5139,0.392
TransportBrain,10.406,528.833,266.587,5139,0.457
TransportBrain,10.029,563.822,272.597,5138,0.659
TransportBrain,10.089,599.079,274.496,5132,0.567
TransportBrain,10.072,634.124,269.170,5136,0.670
TransportBrain,10.263,667.490,244.879,5136,0.968
TransportBrain,10.109,700.463,237.737,5121,0.913
TransportBrain,9.489,734.621,262.898,5158,0.821
TransportBrain,9.470,766.755,230.771,5129,0.956
TransportBrain,9.586,799.062,227.808,5130,1.067
TransportBrain,10.399,832.501,241.199,5123,1.068
TransportBrain,10.086,867.916,273.174,5139,1.359
TransportBrain,10.151,903.336,265.296,5151,1.260
TransportBrain,10.196,939.472,273.089,5153,1.348
TransportBrain,9.901,974.075,262.643,5121,1.414
TransportBrain,9.991,1007.234,244.207,5124,1.450
TransportBrain,10.266,1041.804,257.511,5124,1.618
TransportBrain,9.476,1074.336,239.680,5123,1.837
TransportBrain,9.509,1106.790,234.941,5128,1.890
TransportBrain,10.349,1139.755,230.303,5128,1.975
TransportBrain,10.297,1175.084,269.288,5128,2.021
TransportBrain,10.490,1210.928,274.386,5129,2.246
TransportBrain,9.943,1246.938,276.498,5124,2.234
TransportBrain,9.992,1282.378,266.479,5121,2.735
TransportBrain,9.733,1314.939,239.629,5133,2.607
TransportBrain,10.183,1349.747,258.916,5129,2.962
TransportBrain,9.344,1384.085,260.356,5133,3.003
TransportBrain,9.383,1416.361,231.055,5136,3.333
TransportBrain,9.143,1448.514,234.475,5124,3.379
TransportBrain,10.297,1484.116,269.984,5122,3.782
TransportBrain,10.380,1520.736,280.838,5122,3.733
TransportBrain,9.826,1555.130,256.904,5122,3.903
TransportBrain,9.859,1586.936,226.134,5131,3.549
TransportBrain,10.324,1619.527,228.524,5154,4.137
TransportBrain,10.151,1656.113,286.395,5134,4.573
TransportBrain,10.174,1692.642,284.440,5127,4.407
TransportBrain,9.548,1728.187,279.034,5131,4.679
TransportBrain,9.547,1762.390,253.048,5122,4.737
TransportBrain,9.798,1796.818,257.759,5132,4.595
TransportBrain,9.449,1829.207,225.271,5132,4.820
TransportBrain,9.618,1862.594,246.714,5122,4.960
