Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,9.240,32.891,219.930,5130,0.003
TransportBrain,9.611,63.300,202.355,5124,0.005
TransportBrain,9.705,94.848,220.343,5135,0.018
TransportBrain,9.676,127.051,230.716,5123,0.024
TransportBrain,9.832,159.054,227.772,5185,0.078
TransportBrain,9.278,190.000,217.507,5129,0.153
TransportBrain,9.502,221.367,223.726,5153,0.138
TransportBrain,9.577,252.258,214.955,5122,0.271
TransportBrain,9.328,282.008,200.627,5159,0.299
TransportBrain,9.417,312.555,210.936,5123,0.501
TransportBrain,9.204,342.333,207.972,5123,0.558
TransportBrain,9.795,372.289,198.244,5128,0.613
TransportBrain,9.491,403.676,225.282,5125,0.815
TransportBrain,9.716,435.240,228.665,5124,0.920
TransportBrain,9.699,467.234,228.835,5127,1.143
TransportBrain,9.524,498.514,220.578,5136,1.432
TransportBrain,9.425,529.983,222.018,5135,1.562
TransportBrain,9.551,560.957,214.331,5131,1.496
TransportBrain,9.197,590.565,195.810,5121,1.796
TransportBrain,9.405,621.148,208.740,5128,2.074
TransportBrain,9.172,651.735,221.077,5131,2.193
TransportBrain,9.306,682.294,209.743,5134,2.379
TransportBrain,9.583,714.009,225.058,5129,2.565
TransportBrain,9.492,745.520,219.638,5122,2.798
TransportBrain,9.661,777.849,234.463,5127,3.186
TransportBrain,9.407,808.003,196.928,5136,3.081
TransportBrain,9.278,839.727,227.272,5129,3.567
TransportBrain,9.623,870.932,208.617,5135,3.917
TransportBrain,9.214,901.793,218.083,5138,4.348
TransportBrain,9.337,932.694,213.263,5137,4.664
TransportBrain,9.376,963.783,219.160,5132,4.751
TransportBrain,9.636,994.881,210.367,5125,4.783
TransportBrain,9.599,1025.925,207.714,5128,5.030
TransportBrain,9.747,1058.991,245.156,5121,5.259
TransportBrain,9.467,1090.990,229.251,5137,5.383
TransportBrain,9.457,1121.441,202.365,5125,5.456
TransportBrain,9.642,1153.082,212.235,5157,5.620
TransportBrain,9.483,1185.090,229.703,5127,5.832
TransportBrain,9.374,1216.775,231.619,5146,5.806
TransportBrain,9.245,1247.193,207.239,5127,6.053
TransportBrain,9.356,1278.314,219.302,5138,6.019
TransportBrain,9.397,1310.858,240.276,5138,6.111
TransportBrain,9.435,1343.479,236.156,5155,6.417
TransportBrain,9.645,1375.908,230.291,5130,6.623
TransportBrain,9.358,1408.416,234.042,5125,6.680
TransportBrain,9.520,1440.995,245.677,5127,6.720
TransportBrain,9.389,1473.995,247.344,5122,6.533
TransportBrain,9.093,1505.654,227.886,5121,6.594
TransportBrain,9.295,1537.233,228.416,5130,6.560
TransportBrain,9.197,1567.977,210.334,5121,6.864
TransportBrain,9.939,1599.629,209.034,5128,7.007
TransportBrain,10.018,1631.533,209.706,5131,6.980
TransportBrain,9.077,1662.877,214.784,5123,7.162
TransportBrain,9.770,1695.819,224.217,5126,7.155
TransportBrain,9.783,1730.276,260.836,5122,7.217
TransportBrain,9.949,1765.300,265.447,5122,7.123
TransportBrain,9.042,1798.866,257.370,5128,7.066
TransportBrain,9.166,1830.111,223.259,5121,7.042
TransportBrain,9.056,1861.150,219.427,5125,7.217
TransportBrain,9.256,1895.436,267.020,5136,7.282
TransportBrain,9.333,1927.559,231.680,5140,7.376
TransportBrain,9.277,1959.952,236.064,5124,7.396
TransportBrain,9.456,1992.787,231.830,5130,7.390
TransportBrain,9.496,2026.488,253.395,5138,7.441
TransportBrain,9.493,2059.594,242.618,5128,7.533
TransportBrain,9.345,2093.073,249.427,5145,7.645
TransportBrain,9.388,2126.007,242.080,5125,7.730
TransportBrain,9.645,2159.642,248.903,5125,7.554
TransportBrain,9.353,2191.890,230.560,5135,7.595
TransportBrain,9.192,2223.972,232.193,5125,7.774
TransportBrain,9.331,2256.820,239.128,5134,7.748
TransportBrain,9.484,2289.031,230.128,5121,7.749
TransportBrain,9.482,2322.984,254.521,5142,7.876
TransportBrain,9.600,2356.358,245.137,5126,7.842
TransportBrain,9.732,2390.457,250.120,5123,7.909
TransportBrain,9.432,2424.092,257.009,5134,7.875
TransportBrain,9.331,2457.406,250.511,5125,7.879
TransportBrain,9.505,2490.969,248.062,5131,7.949
TransportBrain,9.413,2523.777,239.474,5127,7.930
TransportBrain,9.316,2555.945,227.058,5123,7.925
TransportBrain,9.748,2589.544,249.095,5125,8.004
TransportBrain,9.796,2622.119,224.756,5124,8.059
TransportBrain,9.946,2655.510,236.233,5130,7.931
TransportBrain,9.878,2689.394,239.296,5131,8.038
TransportBrain,9.964,2724.628,265.606,5131,8.063
TransportBrain,9.718,2760.012,273.051,5122,7.972
