Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,9.304,34.053,227.357,5137,0.008
TransportBrain,9.256,62.735,186.591,5127,0.010
TransportBrain,9.350,91.535,188.033,5183,0.030
TransportBrain,9.938,123.978,225.645,5148,0.032
TransportBrain,9.648,155.565,222.961,5147,0.076
TransportBrain,9.805,187.611,229.961,5128,0.089
TransportBrain,10.096,218.622,205.343,5135,0.146
TransportBrain,10.222,253.228,254.818,5141,0.160
TransportBrain,10.172,287.409,250.582,5131,0.291
TransportBrain,10.112,321.102,243.686,5127,0.236
TransportBrain,10.043,355.589,254.960,5133,0.291
TransportBrain,9.971,389.967,261.374,5125,0.453
TransportBrain,10.227,425.451,280.004,5140,0.463
TransportBrain,9.993,457.974,230.015,5161,0.690
TransportBrain,10.109,491.819,248.023,5139,0.779
TransportBrain,11.983,529.148,279.493,5129,1.158
TransportBrain,12.478,569.726,295.841,5121,1.190
TransportBrain,11.086,606.573,268.016,5130,1.391
TransportBrain,9.930,639.827,225.702,5135,1.566
TransportBrain,10.741,673.215,223.495,5121,1.872
TransportBrain,12.037,714.823,319.604,5127,2.128
TransportBrain,10.228,748.334,233.285,5134,1.995
TransportBrain,9.931,780.602,217.059,5138,2.250
TransportBrain,9.616,813.401,236.640,5123,2.453
TransportBrain,9.076,844.293,221.601,5141,2.670
TransportBrain,10.090,877.467,220.167,5129,3.060
TransportBrain,10.089,912.246,261.090,5122,2.913
TransportBrain,10.053,947.549,263.336,5123,3.597
TransportBrain,10.267,981.567,239.617,5126,3.652
TransportBrain,9.124,1013.349,218.859,5133,3.624
TransportBrain,9.653,1043.720,203.721,5127,4.063
TransportBrain,10.028,1078.343,260.255,5130,4.364
TransportBrain,9.732,1112.188,251.485,5122,4.397
TransportBrain,9.689,1145.305,250.867,5124,4.335
TransportBrain,10.186,1178.492,233.457,5131,4.383
TransportBrain,10.312,1214.866,276.523,5127,4.613
TransportBrain,10.119,1251.068,287.215,5141,4.828
TransportBrain,10.070,1287.046,279.509,5125,5.340
TransportBrain,9.887,1322.393,279.613,5121,5.386
TransportBrain,10.107,1358.461,277.944,5121,5.516
TransportBrain,9.688,1392.900,263.013,5128,4.948
TransportBrain,9.559,1426.223,243.078,5149,5.316
TransportBrain,10.061,1460.320,250.720,5137,5.273
TransportBrain,10.114,1496.176,269.657,5125,5.048
TransportBrain,9.829,1531.637,264.870,5122,5.411
TransportBrain,9.869,1567.310,279.136,5137,5.618
TransportBrain,9.542,1603.491,293.330,5121,5.643
TransportBrain,9.063,1634.109,213.559,5125,5.557
TransportBrain,8.945,1664.611,214.539,5133,5.855
TransportBrain,10.370,1696.792,213.701,5121,5.915
TransportBrain,9.943,1733.182,287.141,5123,5.989
