Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,6.192,28.579,196.159,5136,0.007
TransportBrain,6.074,54.693,195.142,5149,0.008
TransportBrain,6.362,83.864,235.731,5133,0.028
TransportBrain,6.179,112.957,236.225,5140,0.065
TransportBrain,6.289,144.233,277.494,5144,0.079
TransportBrain,6.342,174.538,256.033,5141,0.142
TransportBrain,6.361,204.379,248.028,5172,0.253
TransportBrain,6.580,233.011,224.108,5132,0.322
TransportBrain,6.188,261.847,231.857,5146,0.307
TransportBrain,6.186,290.310,228.482,5126,0.287
TransportBrain,6.107,319.412,239.824,5144,0.465
TransportBrain,6.079,348.310,238.678,5131,0.724
TransportBrain,6.063,377.110,241.498,5130,0.726
TransportBrain,5.894,404.770,221.750,5121,0.905
TransportBrain,6.373,432.492,211.414,5151,0.951
TransportBrain,6.657,459.699,202.895,5125,1.113
TransportBrain,6.596,486.617,200.692,5127,1.634
TransportBrain,6.326,513.759,207.445,5134,1.603
TransportBrain,6.350,540.017,194.495,5121,1.837
TransportBrain,6.465,566.755,200.968,5121,2.011
TransportBrain,6.474,594.084,206.871,5127,2.376
TransportBrain,6.763,622.779,221.869,5124,2.705
TransportBrain,6.592,654.044,269.757,5130,3.038
TransportBrain,6.570,685.677,276.809,5123,3.175
TransportBrain,6.924,718.527,289.844,5132,3.413
TransportBrain,6.706,751.248,290.033,5135,3.718
TransportBrain,6.396,783.153,276.080,5129,3.981
TransportBrain,6.370,814.649,267.525,5130,4.359
TransportBrain,6.360,845.917,265.408,5123,4.468
TransportBrain,6.374,878.036,281.306,5124,4.141
TransportBrain,6.416,908.777,260.728,5129,4.447
TransportBrain,6.415,939.236,249.097,5139,4.810
TransportBrain,6.347,968.871,238.716,5125,5.040
TransportBrain,5.888,997.543,230.120,5123,5.319
TransportBrain,5.887,1024.671,213.247,5123,5.605
TransportBrain,5.820,1052.651,220.282,5121,5.693
TransportBrain,5.781,1080.520,219.243,5127,6.040
TransportBrain,5.754,1107.921,216.575,5121,5.793
TransportBrain,5.989,1135.618,218.678,5121,5.940
TransportBrain,6.243,1165.079,235.039,5131,6.275
TransportBrain,6.226,1195.468,261.907,5121,6.150
TransportBrain,6.347,1225.532,249.871,5126,6.468
TransportBrain,6.219,1255.318,250.925,5137,6.419
TransportBrain,6.247,1285.097,250.660,5128,6.653
TransportBrain,5.904,1314.928,249.734,5134,6.603
TransportBrain,5.956,1344.653,244.723,5129,6.825
TransportBrain,6.037,1374.765,244.281,5128,6.880
TransportBrain,5.994,1404.638,249.282,5128,7.096
TransportBrain,5.703,1434.380,249.390,5122,6.794
TransportBrain,6.293,1463.106,225.961,5144,7.197
TransportBrain,6.351,1490.876,208.722,5121,7.117
TransportBrain,6.315,1518.973,215.657,5126,7.253
TransportBrain,6.444,1547.218,218.616,5128,7.244
TransportBrain,6.186,1575.174,213.160,5134,7.362
TransportBrain,5.922,1604.141,231.837,5125,7.332
TransportBrain,5.823,1632.007,217.701,5131,7.362
TransportBrain,5.813,1660.743,229.642,5122,7.448
TransportBrain,5.771,1689.147,225.957,5121,7.470
TransportBrain,5.865,1717.305,220.565,5155,7.460
TransportBrain,6.006,1745.345,216.242,5121,7.581
TransportBrain,6.308,1774.850,234.434,5122,7.681
TransportBrain,6.188,1807.451,288.359,5127,7.676
TransportBrain,6.220,1840.460,295.057,5128,7.649
TransportBrain,6.297,1873.160,285.178,5125,7.814
TransportBrain,6.258,1906.081,292.332,5146,7.799
TransportBrain,6.230,1938.386,288.380,5135,7.781
TransportBrain,6.239,1971.090,283.610,5123,7.868
TransportBrain,6.118,2002.938,278.293,5128,7.944
TransportBrain,6.085,2032.697,246.650,5123,7.867
TransportBrain,5.984,2062.904,254.598,5143,7.918
TransportBrain,6.036,2093.114,248.457,5128,7.893
TransportBrain,6.184,2123.066,249.723,5140,7.964
TransportBrain,6.249,2155.077,279.886,5124,8.008
TransportBrain,6.256,2188.860,309.254,5123,8.055
TransportBrain,6.331,2222.048,291.874,5126,8.077
TransportBrain,6.342,2255.567,304.034,5126,8.056
TransportBrain,6.399,2286.028,253.346,5128,8.078
TransportBrain,6.448,2317.477,258.083,5125,8.041
TransportBrain,5.989,2347.900,254.723,5131,7.993
TransportBrain,6.023,2378.141,246.277,5126,8.105
