Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,48.114,86.748,392.147,5305,208.267
PositionBrain,47.086,162.772,320.603,5423,390.639
PositionBrain,45.805,226.171,187.731,5198,336.859
PositionBrain,52.738,317.636,436.603,5685,323.939
PositionBrain,47.046,388.877,255.662,5192,322.391
PositionBrain,45.518,453.201,203.455,5218,302.284
PositionBrain,45.208,530.974,363.816,5219,404.927
PositionBrain,50.409,599.821,211.640,5300,206.603
PositionBrain,45.672,665.716,232.063,5242,266.296
PositionBrain,44.570,735.023,272.737,5162,307.182
PositionBrain,46.372,808.349,305.386,5138,294.338
PositionBrain,43.761,878.878,312.258,5179,308.451
PositionBrain,46.800,944.875,217.051,5419,241.128
PositionBrain,44.572,1017.565,320.379,5125,304.719
PositionBrain,48.722,1094.400,327.412,5398,301.157
PositionBrain,47.369,1172.339,340.091,5308,271.176
PositionBrain,43.120,1233.754,185.843,5138,315.272
PositionBrain,47.409,1302.200,240.589,5354,245.721
PositionBrain,44.444,1374.556,320.689,5203,271.067
PositionBrain,45.649,1443.457,269.908,5353,316.636
PositionBrain,41.319,1504.039,227.618,5137,259.084
PositionBrain,43.048,1570.888,272.678,5182,280.245
PositionBrain,47.207,1644.166,304.893,5366,257.144
PositionBrain,43.574,1710.693,267.253,5200,271.167
PositionBrain,44.276,1778.819,286.826,5153,250.691
PositionBrain,43.635,1846.384,258.991,5204,258.693
PositionBrain,44.604,1917.094,306.442,5136,286.166
PositionBrain,44.542,1986.558,292.808,5202,351.036
PositionBrain,44.207,2052.993,249.601,5213,291.857
PositionBrain,41.699,2119.785,293.357,5165,297.175
PositionBrain,43.219,2184.265,250.798,5135,263.215
PositionBrain,45.084,2251.898,259.966,5213,254.572
PositionBrain,42.967,2317.702,270.939,5148,240.793
PositionBrain,41.848,2383.636,279.807,5130,207.003
PositionBrain,41.591,2447.690,260.986,5121,241.875
PositionBrain,44.293,2516.185,276.599,5182,254.267
PositionBrain,46.775,2587.994,286.960,5304,216.991
PositionBrain,43.766,2654.986,260.069,5151,206.355
PositionBrain,45.551,2726.823,307.821,5129,196.902
PositionBrain,42.125,2792.911,277.380,5122,174.687
PositionBrain,43.210,2860.809,289.823,5124,176.893
PositionBrain,46.025,2932.851,291.188,5134,162.804
PositionBrain,46.065,3005.910,298.025,5124,171.519
PositionBrain,44.345,3077.653,309.061,5125,188.937
PositionBrain,42.982,3147.870,284.868,5172,197.509
PositionBrain,42.593,3216.371,284.284,5139,161.938
PositionBrain,43.422,3285.722,284.283,5126,192.044
PositionBrain,45.680,3359.115,297.411,5139,187.541
PositionBrain,44.601,3431.967,315.931,5133,195.616
PositionBrain,44.797,3505.546,313.476,5136,176.984
PositionBrain,42.211,3574.833,295.147,5135,214.901
PositionBrain,45.042,3647.488,311.788,5136,231.571
PositionBrain,44.325,3721.538,335.654,5146,222.983
PositionBrain,43.835,3794.257,310.992,5130,201.111
PositionBrain,43.527,3867.270,325.124,5137,237.814
PositionBrain,42.989,3939.724,306.766,5127,235.085
PositionBrain,46.043,4016.845,351.919,5122,242.309
PositionBrain,45.619,4092.763,320.870,5129,244.656
PositionBrain,44.656,4167.718,335.716,5121,302.930
PositionBrain,44.463,4242.646,336.166,5149,280.417
PositionBrain,41.892,4313.376,308.751,5124,275.934
PositionBrain,44.837,4387.042,313.009,5123,297.759
PositionBrain,45.305,4463.520,340.796,5132,297.276
PositionBrain,44.350,4537.933,314.277,5132,294.714
PositionBrain,42.250,4610.534,320.934,5126,326.063
PositionBrain,44.060,4684.070,308.137,5142,341.905
PositionBrain,45.857,4761.434,336.622,5125,344.803
PositionBrain,44.505,4836.927,334.801,5131,347.771
PositionBrain,42.866,4910.938,322.905,5127,373.774
PositionBrain,42.586,4982.974,317.183,5121,368.353
PositionBrain,45.916,5060.105,330.073,5134,381.772
PositionBrain,45.228,5137.536,335.924,5122,390.992
PositionBrain,42.500,5211.863,341.826,5124,386.384
PositionBrain,42.696,5284.630,311.476,5123,399.249
PositionBrain,45.853,5362.210,343.915,5126,423.591
PositionBrain,44.537,5439.226,343.424,5130,432.751
PositionBrain,44.033,5515.138,312.668,5138,423.502
