Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,43.252,9068.681,365.576,5122,792.819
PositionBrain,43.921,9148.320,361.813,5123,790.953
PositionBrain,47.860,9234.955,414.517,5126,792.820
PositionBrain,42.061,9315.304,390.928,5122,795.644
PositionBrain,43.819,9392.727,343.639,5130,797.538
PositionBrain,43.782,9472.308,364.859,5125,799.358
PositionBrain,46.082,9557.139,410.745,5127,791.892
PositionBrain,43.936,9639.310,383.786,5129,798.905
PositionBrain,43.027,9716.078,352.949,5124,803.006
PositionBrain,43.808,9795.628,363.250,5125,799.343
PositionBrain,45.482,9879.832,409.912,5124,800.738
PositionBrain,45.712,9964.276,393.225,5126,799.372
PositionBrain,43.011,10040.558,350.873,5122,802.102
PositionBrain,43.902,10120.446,369.995,5122,801.663
PositionBrain,44.355,10203.823,418.233,5132,800.729
PositionBrain,48.347,10290.938,386.727,5130,800.278
PositionBrain,42.464,10366.809,330.765,5128,798.907
PositionBrain,43.513,10446.437,368.236,5134,798.906
PositionBrain,44.501,10529.827,416.175,5123,800.740
PositionBrain,47.073,10615.194,395.054,5135,802.562
PositionBrain,43.133,10691.819,345.316,5121,801.183
PositionBrain,44.193,10772.993,391.593,5121,802.565
