Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,61.356,99.241,420.608,5205,209.294
PositionBrain,57.834,187.693,346.722,5184,363.982
PositionBrain,69.748,278.005,234.427,5524,250.805
PositionBrain,55.799,361.431,300.154,5139,321.993
PositionBrain,59.461,443.892,256.841,5238,324.106
PositionBrain,60.300,527.805,264.483,5363,262.062
PositionBrain,59.033,608.561,253.764,5190,279.854
PositionBrain,59.727,695.619,297.193,5214,234.135
PositionBrain,59.310,778.838,273.818,5473,278.005
PositionBrain,58.736,858.821,237.442,5195,251.456
PositionBrain,57.693,943.778,321.097,5136,195.647
PositionBrain,63.240,1039.227,378.753,5158,255.880
PositionBrain,54.417,1110.207,190.818,5156,273.525
PositionBrain,58.564,1198.105,345.506,5215,245.348
PositionBrain,59.671,1285.809,339.616,5343,285.581
PositionBrain,62.751,1377.890,351.020,5269,390.667
PositionBrain,59.127,1455.066,205.246,5223,327.713
PositionBrain,59.116,1543.639,357.602,5324,357.555
PositionBrain,61.737,1629.929,285.851,5607,235.622
PositionBrain,63.056,1723.430,367.165,5401,279.376
PositionBrain,61.774,1808.836,263.859,5615,253.203
PositionBrain,58.030,1889.998,278.449,5514,311.565
PositionBrain,59.733,1982.693,391.422,5360,325.891
PositionBrain,58.364,2054.616,149.879,5223,263.580
PositionBrain,68.165,2159.635,442.564,5541,309.742
PositionBrain,61.550,2245.903,282.530,5266,290.405
PositionBrain,58.407,2333.947,350.506,5242,247.372
PositionBrain,57.378,2409.375,199.854,5136,246.439
PositionBrain,60.076,2493.862,281.352,5313,339.737
PositionBrain,59.556,2579.096,309.164,5253,307.413
PositionBrain,60.866,2665.621,298.807,5527,356.213
PositionBrain,58.215,2750.854,322.599,5183,277.468
PositionBrain,63.697,2841.161,316.411,5322,288.563
PositionBrain,59.709,2928.677,321.031,5346,329.535
PositionBrain,61.519,3010.508,233.112,5550,297.657
PositionBrain,58.879,3094.518,294.332,5137,258.187
PositionBrain,58.069,3178.492,312.975,5187,275.638
PositionBrain,62.805,3263.333,245.881,5132,268.162
PositionBrain,55.255,3346.481,333.311,5129,326.000
PositionBrain,59.962,3425.624,220.805,5302,293.424
PositionBrain,58.222,3512.220,339.394,5183,258.431
PositionBrain,64.019,3601.082,294.404,5137,281.957
PositionBrain,56.005,3688.333,367.822,5320,249.212
PositionBrain,58.688,3766.469,219.939,5168,364.790
PositionBrain,57.646,3848.755,282.820,5132,261.699
PositionBrain,58.926,3932.248,289.992,5132,288.666
PositionBrain,60.959,4024.798,367.735,5308,372.704
PositionBrain,57.831,4100.865,203.748,5348,302.713
PositionBrain,57.613,4184.744,313.625,5137,303.645
PositionBrain,60.021,4269.898,299.551,5130,284.334
PositionBrain,58.553,4353.148,288.568,5121,306.515
PositionBrain,57.548,4433.648,266.748,5222,274.213
PositionBrain,59.280,4517.556,290.977,5275,299.887
PositionBrain,58.954,4601.714,292.412,5274,270.814
PositionBrain,63.313,4690.199,285.982,5126,321.396
PositionBrain,56.292,4771.034,286.753,5255,264.829
PositionBrain,57.678,4852.271,277.965,5127,220.812
PositionBrain,58.395,4936.883,309.066,5231,284.259
PositionBrain,63.567,5027.558,302.656,5198,257.394
PositionBrain,55.173,5105.806,269.279,5160,261.563
PositionBrain,57.332,5185.923,261.733,5125,240.188
PositionBrain,56.975,5268.586,304.769,5138,206.409
PositionBrain,62.577,5358.434,294.013,5138,228.838
PositionBrain,54.948,5436.407,266.720,5148,203.863
PositionBrain,57.161,5518.175,277.592,5129,206.140
PositionBrain,59.092,5603.519,309.857,5181,237.177
PositionBrain,59.695,5690.075,304.320,5144,226.229
PositionBrain,55.840,5769.423,274.591,5138,195.590
PositionBrain,57.033,5851.837,289.627,5137,228.878
PositionBrain,57.221,5935.205,298.188,5125,206.962
PositionBrain,57.181,6018.065,286.751,5138,205.632
PositionBrain,59.556,6105.716,328.716,5178,210.988
PositionBrain,63.088,6195.592,320.773,5121,180.198
PositionBrain,55.665,6278.822,312.358,5132,199.525
PositionBrain,58.097,6361.786,280.051,5131,209.327
PositionBrain,64.763,6453.082,298.876,5132,221.676
PositionBrain,63.187,6544.216,310.727,5128,155.348
PositionBrain,56.813,6628.199,309.751,5124,222.284
PositionBrain,62.084,6719.005,321.931,5146,192.341
PositionBrain,56.052,6800.271,269.319,5151,220.709
PositionBrain,56.698,6883.814,293.597,5132,217.952
PositionBrain,64.560,6977.655,321.138,5124,198.591
PositionBrain,61.884,7068.295,319.856,5149,212.383
PositionBrain,60.051,7155.430,312.640,5133,195.010
PositionBrain,59.061,7244.298,321.883,5142,212.699
PositionBrain,57.527,7329.274,313.292,5134,216.986
PositionBrain,62.034,7418.313,303.108,5124,218.382
PositionBrain,63.681,7513.333,341.446,5122,237.904
PositionBrain,59.150,7602.478,336.581,5129,211.069
PositionBrain,62.610,7692.820,308.640,5123,250.400
PositionBrain,55.129,7777.691,321.438,5129,206.136
PositionBrain,56.320,7860.676,291.379,5126,258.941
PositionBrain,60.531,7949.593,314.668,5127,229.528
