Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,34.472,70.751,391.385,5156,222.114
PositionBrain,32.095,132.246,343.640,5463,320.334
PositionBrain,32.885,191.402,320.682,5175,318.467
PositionBrain,32.464,246.829,259.270,5236,278.538
PositionBrain,32.495,300.691,240.930,5230,357.070
PositionBrain,33.505,356.239,253.697,5179,373.293
PositionBrain,34.487,424.952,406.873,5479,361.279
PositionBrain,37.181,491.946,342.812,5630,318.646
PositionBrain,32.503,546.591,260.877,5273,286.522
PositionBrain,33.563,598.590,220.457,5190,263.828
PositionBrain,34.704,658.945,291.098,5197,316.345
PositionBrain,32.831,714.688,264.831,5216,308.526
PositionBrain,32.181,770.412,274.906,5191,325.615
PositionBrain,33.544,824.624,238.985,5385,323.549
PositionBrain,29.290,887.495,390.564,5238,330.007
PositionBrain,32.506,944.168,292.128,5180,378.378
PositionBrain,35.151,999.270,223.088,5236,317.905
PositionBrain,31.602,1055.985,279.563,5348,260.478
PositionBrain,29.874,1111.644,291.629,5129,286.353
PositionBrain,34.375,1164.614,211.751,5173,371.580
PositionBrain,32.580,1222.585,300.614,5243,366.657
PositionBrain,32.611,1281.401,311.588,5271,374.604
PositionBrain,40.170,1342.794,247.426,5590,325.355
PositionBrain,33.480,1409.076,372.762,5152,407.598
PositionBrain,33.169,1472.261,344.568,5618,328.112
PositionBrain,29.529,1522.370,254.768,5143,251.104
PositionBrain,36.095,1582.702,293.862,5858,328.778
PositionBrain,34.892,1639.558,242.342,5266,323.282
PositionBrain,30.562,1702.828,392.282,5233,292.559
PositionBrain,32.371,1751.986,195.191,5273,305.424
PositionBrain,37.251,1818.180,338.257,5555,407.044
PositionBrain,35.176,1874.475,232.867,5390,279.475
PositionBrain,32.378,1938.336,355.891,5207,408.828
PositionBrain,32.953,1989.066,202.728,5315,314.470
PositionBrain,32.118,2053.268,379.788,5300,352.012
PositionBrain,34.109,2105.675,214.019,5550,300.905
PositionBrain,29.139,2157.798,275.945,5239,353.310
PositionBrain,35.560,2222.756,347.498,5267,395.793
PositionBrain,31.028,2279.511,288.973,5167,327.743
PositionBrain,30.953,2331.946,249.622,5311,340.419
PositionBrain,35.382,2393.660,318.773,5399,459.181
PositionBrain,31.011,2451.635,314.561,5236,327.383
PositionBrain,30.096,2503.762,263.858,5352,320.417
PositionBrain,31.008,2554.751,236.394,5183,296.052
PositionBrain,35.063,2619.566,347.237,5143,382.945
PositionBrain,35.260,2683.956,335.310,5380,388.201
PositionBrain,30.615,2730.999,185.596,5206,307.938
PositionBrain,35.267,2795.114,336.515,5395,325.801
PositionBrain,32.476,2853.516,307.912,5168,295.643
PositionBrain,33.605,2911.763,307.959,5604,382.688
PositionBrain,37.369,2971.282,260.707,5518,373.446
PositionBrain,30.467,3031.595,359.276,5146,429.831
PositionBrain,32.566,3087.872,289.288,5299,365.996
PositionBrain,33.939,3140.206,222.542,5240,326.624
PositionBrain,32.761,3196.993,286.812,5255,435.659
PositionBrain,32.425,3257.363,345.944,5304,358.412
PositionBrain,31.781,3319.367,379.889,5244,460.365
PositionBrain,37.676,3371.744,163.041,5526,216.934
PositionBrain,33.042,3439.628,404.691,5580,407.930
PositionBrain,31.066,3498.478,324.343,5142,344.786
PositionBrain,36.232,3551.550,193.101,5599,209.430
