Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,45.425,87.182,451.087,5148,236.624
PositionBrain,51.442,167.063,318.287,5662,314.961
PositionBrain,47.151,233.782,224.887,5222,311.691
PositionBrain,50.099,309.815,288.850,5209,304.069
PositionBrain,51.237,385.367,271.821,5384,329.967
PositionBrain,46.538,460.370,322.861,5147,261.015
PositionBrain,49.301,534.513,274.647,5258,319.761
PositionBrain,49.097,606.319,253.334,5127,267.699
PositionBrain,42.697,671.507,257.316,5121,246.379
PositionBrain,47.589,746.332,313.446,5125,245.235
PositionBrain,47.924,818.087,269.479,5134,266.903
PositionBrain,41.882,885.035,289.314,5128,270.359
PositionBrain,45.529,952.764,260.524,5131,267.245
PositionBrain,47.602,1024.254,275.449,5225,242.509
PositionBrain,51.265,1110.997,392.417,5209,290.159
PositionBrain,50.237,1182.216,226.597,5218,317.592
PositionBrain,46.160,1253.296,271.278,5123,284.818
PositionBrain,48.673,1327.387,297.350,5189,301.344
PositionBrain,48.664,1404.704,327.547,5240,276.776
PositionBrain,43.131,1469.208,237.075,5140,304.843
PositionBrain,46.839,1540.828,295.442,5204,292.700
PositionBrain,47.781,1616.864,322.828,5187,268.602
PositionBrain,42.896,1681.738,258.515,5151,281.342
PositionBrain,45.289,1750.414,277.376,5145,251.428
PositionBrain,47.185,1824.481,308.502,5133,292.222
PositionBrain,49.703,1899.920,293.606,5151,267.879
PositionBrain,49.221,1974.813,277.048,5151,250.248
PositionBrain,46.651,2046.679,292.821,5162,211.118
PositionBrain,48.623,2122.731,320.221,5200,203.126
PositionBrain,48.856,2198.582,298.964,5161,239.663
PositionBrain,42.963,2264.800,252.329,5142,231.620
PositionBrain,47.496,2334.447,249.025,5128,222.237
PositionBrain,48.070,2408.511,295.267,5161,228.075
PositionBrain,42.835,2475.699,293.205,5136,200.417
PositionBrain,45.056,2546.971,295.187,5139,190.836
PositionBrain,48.714,2621.747,298.133,5224,198.480
PositionBrain,49.759,2699.448,313.574,5158,206.312
PositionBrain,49.426,2777.191,310.548,5129,190.057
PositionBrain,48.231,2852.979,311.498,5150,248.896
PositionBrain,48.489,2927.723,292.227,5125,202.942
PositionBrain,45.893,3002.712,335.588,5160,191.098
PositionBrain,42.840,3070.512,282.084,5127,204.145
PositionBrain,48.826,3146.584,308.389,5163,196.161
PositionBrain,42.994,3217.733,302.408,5132,191.852
PositionBrain,44.835,3287.506,293.907,5122,207.661
PositionBrain,44.738,3359.334,311.215,5124,212.478
PositionBrain,50.446,3438.833,318.768,5134,174.530
PositionBrain,49.942,3519.353,326.606,5127,202.723
PositionBrain,49.013,3599.532,339.190,5134,203.891
PositionBrain,48.725,3679.169,342.616,5131,251.077
PositionBrain,48.200,3758.238,347.378,5141,221.646
PositionBrain,48.513,3837.436,327.183,5121,246.962
PositionBrain,45.689,3912.659,328.249,5163,252.800
PositionBrain,48.920,3992.397,334.137,5132,251.694
PositionBrain,48.220,4071.741,348.712,5152,249.729
PositionBrain,45.646,4147.582,328.671,5151,282.121
PositionBrain,43.773,4219.718,320.308,5124,275.050
PositionBrain,48.930,4298.676,332.314,5131,270.475
PositionBrain,41.389,4370.948,353.589,5123,275.312
PositionBrain,44.486,4441.674,294.998,5132,319.637
PositionBrain,44.441,4515.647,334.163,5129,320.176
PositionBrain,41.463,4583.618,289.406,5124,318.286
PositionBrain,47.763,4657.813,296.729,5123,316.122
PositionBrain,45.983,4734.204,333.558,5124,305.923
PositionBrain,40.938,4801.268,286.470,5124,346.304
PositionBrain,45.087,4875.543,319.552,5131,346.301
PositionBrain,41.254,4946.119,322.715,5132,366.802
PositionBrain,43.316,5015.853,295.067,5136,372.855
PositionBrain,48.631,5096.346,345.118,5135,402.388
PositionBrain,40.319,5165.301,309.584,5136,408.612
PositionBrain,44.795,5237.394,308.333,5125,397.058
PositionBrain,42.949,5309.701,321.364,5124,415.262
PositionBrain,41.006,5377.446,295.135,5125,426.411
PositionBrain,48.563,5454.997,321.216,5121,440.484
PositionBrain,41.925,5528.773,351.902,5126,407.628
PositionBrain,42.904,5599.008,303.969,5123,451.610
PositionBrain,44.818,5673.396,324.479,5122,439.227
PositionBrain,41.131,5742.321,313.417,5128,467.170
PositionBrain,46.309,5815.938,301.284,5122,462.100
PositionBrain,47.167,5895.149,351.316,5135,470.093
PositionBrain,40.734,5963.636,308.450,5127,474.587
PositionBrain,45.321,6039.643,334.573,5125,512.252
PositionBrain,41.725,6111.651,324.261,5121,528.669
PositionBrain,42.027,6181.234,302.114,5129,510.580
PositionBrain,49.674,6263.517,348.133,5130,539.759
PositionBrain,40.936,6336.886,347.138,5127,534.720
PositionBrain,45.275,6410.468,317.303,5125,570.468
PositionBrain,43.869,6485.144,339.800,5124,577.521
PositionBrain,42.503,6557.039,319.194,5132,586.229
PositionBrain,49.946,6638.793,326.674,5121,580.027
PositionBrain,42.165,6714.953,366.678,5132,604.590
PositionBrain,44.943,6788.832,320.380,5131,619.878
PositionBrain,43.639,6864.367,337.785,5124,619.452
PositionBrain,41.954,6935.587,316.926,5122,642.725
PositionBrain,49.193,7016.538,333.928,5127,646.572
PositionBrain,42.265,7093.627,367.661,5124,667.404
PositionBrain,44.810,7168.629,326.368,5125,678.663
PositionBrain,44.721,7246.134,346.094,5133,668.171
PositionBrain,41.775,7317.617,314.855,5123,679.218
PositionBrain,48.500,7397.046,333.394,5129,697.588
PositionBrain,44.578,7476.551,366.160,5138,689.184
PositionBrain,42.956,7550.084,324.216,5129,714.938
PositionBrain,45.557,7629.437,348.108,5138,710.541
PositionBrain,41.558,7702.305,326.954,5127,721.764
PositionBrain,46.838,7779.976,308.759,5126,722.042
PositionBrain,46.802,7863.301,381.918,5135,739.119
PositionBrain,42.030,7936.153,330.537,5126,734.856
PositionBrain,45.634,8016.341,370.242,5125,750.522
PositionBrain,41.798,8091.075,345.801,5139,750.403
PositionBrain,47.896,8170.409,313.687,5126,752.851
PositionBrain,45.402,8252.144,390.175,5128,746.672
PositionBrain,42.727,8326.807,342.202,5138,763.047
PositionBrain,45.375,8407.420,383.923,5127,772.252
PositionBrain,42.763,8482.531,329.190,5122,769.513
PositionBrain,49.426,8565.563,349.916,5130,771.330
PositionBrain,42.901,8645.674,393.679,5121,774.509
PositionBrain,44.282,8721.951,344.277,5128,778.777
PositionBrain,44.820,8802.441,366.096,5123,782.376
PositionBrain,41.885,8877.072,344.569,5138,786.022
PositionBrain,48.604,8960.230,362.927,5125,779.197
PositionBrain,41.658,9040.591,402.367,5126,786.922
PositionBrain,45.290,9118.368,336.517,5135,792.827
PositionBrain,44.184,9198.019,379.627,5123,792.799
PositionBrain,42.687,9273.545,358.322,5128,787.946
PositionBrain,49.977,9359.585,388.974,5125,792.807
PositionBrain,40.975,9438.146,384.084,5121,795.640
PositionBrain,45.073,9515.561,349.698,5128,791.832
PositionBrain,43.956,9595.042,371.688,5127,795.663
PositionBrain,41.827,9670.133,319.143,5140,796.159
PositionBrain,49.637,9756.838,382.644,5121,798.003
PositionBrain,41.069,9834.363,386.016,5122,796.578
PositionBrain,46.173,9914.259,350.801,5127,798.923
PositionBrain,42.808,9993.155,385.531,5121,797.968
PositionBrain,41.247,10067.304,337.890,5123,798.430
PositionBrain,49.083,10153.842,385.944,5121,800.756
PositionBrain,41.511,10231.379,363.954,5128,793.753
PositionBrain,45.893,10311.316,369.684,5132,797.998
PositionBrain,42.370,10389.643,377.670,5122,797.043
PositionBrain,42.602,10465.262,346.804,5124,801.670
PositionBrain,49.700,10553.438,403.819,5123,801.219
PositionBrain,40.553,10627.823,348.683,5124,801.209
PositionBrain,45.078,10708.575,371.062,5133,800.746
PositionBrain,42.070,10786.753,364.549,5125,798.906
PositionBrain,43.526,10863.208,337.898,5138,800.743
PositionBrain,48.875,10950.866,407.079,5129,801.678
PositionBrain,41.419,11025.673,346.911,5124,802.566
PositionBrain,45.689,11107.043,375.373,5126,802.108
