Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,46.808,83.831,389.335,5275,221.224
PositionBrain,45.744,158.349,319.123,5242,360.424
PositionBrain,48.400,239.347,372.763,5549,227.581
PositionBrain,44.597,300.315,184.814,5141,245.841
PositionBrain,48.162,378.985,350.186,5137,294.898
PositionBrain,46.095,454.262,333.583,5207,186.417
PositionBrain,49.026,525.922,230.725,5559,237.753
PositionBrain,45.503,594.717,273.036,5362,275.800
PositionBrain,49.526,679.566,435.853,5586,177.258
PositionBrain,49.727,755.286,315.502,5315,234.656
PositionBrain,45.460,823.680,248.754,5248,269.133
PositionBrain,45.091,890.820,241.778,5273,351.710
PositionBrain,43.669,952.447,200.986,5122,317.010
PositionBrain,49.501,1043.774,504.718,5701,301.617
PositionBrain,49.234,1109.909,195.543,5571,200.836
PositionBrain,47.307,1192.510,414.882,5157,411.430
PositionBrain,46.182,1260.314,244.577,5589,268.991
PositionBrain,44.953,1326.457,253.502,5150,292.592
PositionBrain,44.875,1394.989,271.036,5385,283.793
PositionBrain,46.702,1479.459,471.636,5562,406.045
PositionBrain,47.987,1548.814,251.229,5204,226.531
PositionBrain,45.263,1629.834,417.279,5323,220.323
PositionBrain,45.366,1690.621,175.791,5188,312.960
PositionBrain,43.635,1761.766,320.565,5179,312.925
PositionBrain,42.981,1829.451,294.693,5136,298.793
PositionBrain,47.082,1901.822,317.010,5414,272.608
PositionBrain,49.924,1978.737,319.671,5482,284.459
PositionBrain,43.419,2048.396,297.504,5158,226.903
PositionBrain,48.050,2124.485,340.228,5595,277.766
PositionBrain,44.813,2188.223,213.838,5326,209.521
PositionBrain,47.259,2265.538,378.305,5482,243.986
PositionBrain,49.179,2345.538,366.515,5409,251.046
PositionBrain,45.295,2415.813,284.497,5353,258.680
PositionBrain,50.213,2493.031,305.310,5678,329.098
PositionBrain,45.068,2564.375,311.721,5284,243.622
PositionBrain,44.047,2632.780,292.811,5172,201.608
PositionBrain,47.452,2709.285,355.643,5172,319.035
PositionBrain,47.956,2780.433,272.997,5360,280.771
PositionBrain,41.942,2844.583,260.761,5140,302.103
PositionBrain,44.620,2914.072,282.715,5181,301.462
PositionBrain,44.155,2979.713,252.962,5138,336.922
PositionBrain,44.400,3054.761,373.335,5146,337.495
PositionBrain,48.201,3124.924,250.274,5213,323.575
PositionBrain,43.371,3195.118,320.906,5166,314.062
PositionBrain,46.576,3265.937,285.386,5300,312.844
PositionBrain,44.613,3335.724,300.428,5199,388.121
PositionBrain,45.391,3404.585,273.921,5341,266.226
PositionBrain,47.578,3480.855,356.932,5153,354.528
PositionBrain,49.649,3552.900,256.182,5310,276.088
PositionBrain,52.222,3636.110,373.219,5633,326.935
PositionBrain,45.889,3704.440,251.682,5207,332.879
PositionBrain,45.643,3783.438,400.949,5308,310.363
PositionBrain,44.882,3848.011,234.942,5246,311.969
PositionBrain,45.454,3921.704,340.887,5137,395.048
PositionBrain,45.730,3988.258,231.409,5262,355.178
PositionBrain,44.701,4059.987,317.542,5222,331.416
PositionBrain,44.044,4130.556,313.393,5140,357.228
PositionBrain,46.755,4203.589,317.402,5147,379.444
PositionBrain,47.110,4280.370,339.245,5165,306.406
PositionBrain,45.781,4346.970,234.361,5439,349.322
PositionBrain,45.898,4423.664,353.675,5220,388.321
PositionBrain,45.175,4490.498,244.547,5162,428.772
PositionBrain,45.148,4559.376,283.459,5125,427.863
PositionBrain,50.260,4640.810,368.812,5328,369.827
PositionBrain,48.831,4720.970,364.569,5647,388.635
PositionBrain,48.026,4789.786,236.932,5222,355.583
PositionBrain,45.511,4863.014,325.870,5279,445.232
PositionBrain,45.321,4937.241,346.466,5169,378.552
PositionBrain,46.782,5006.709,265.421,5160,356.220
PositionBrain,50.416,5088.804,377.282,5345,413.978
PositionBrain,45.690,5157.442,271.827,5301,319.183
PositionBrain,48.453,5228.741,271.509,5317,388.219
PositionBrain,45.025,5300.895,329.185,5176,347.993
PositionBrain,45.239,5369.572,282.888,5172,460.114
PositionBrain,48.921,5452.166,398.106,5187,379.418
PositionBrain,47.878,5525.640,298.895,5559,418.465
PositionBrain,46.941,5594.149,229.851,5223,368.970
PositionBrain,45.469,5663.543,284.779,5240,392.549
PositionBrain,44.338,5737.246,363.139,5133,384.366
PositionBrain,47.827,5808.705,274.481,5218,359.208
PositionBrain,46.799,5888.879,392.840,5132,318.172
PositionBrain,42.901,5950.342,198.561,5144,312.368
