Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,36.619,74.709,423.976,5205,215.188
PositionBrain,35.980,140.155,344.221,5458,223.778
PositionBrain,35.021,202.609,310.463,5344,309.985
PositionBrain,33.414,255.756,213.824,5200,315.102
PositionBrain,38.026,328.573,390.451,5379,304.359
PositionBrain,41.469,392.650,262.308,6066,303.200
PositionBrain,32.876,453.959,341.177,5270,255.364
PositionBrain,33.804,509.258,241.391,5497,228.747
PositionBrain,34.222,574.192,353.149,5141,263.629
PositionBrain,35.042,635.606,307.125,5254,354.234
PositionBrain,32.912,692.200,278.233,5246,200.704
PositionBrain,32.973,749.562,284.850,5170,295.966
PositionBrain,32.029,804.907,259.394,5136,228.864
PositionBrain,33.992,863.745,279.373,5154,365.243
PositionBrain,34.159,920.743,257.544,5208,233.356
PositionBrain,37.763,982.432,281.222,5534,235.496
PositionBrain,33.414,1043.411,325.366,5279,312.671
PositionBrain,35.945,1103.708,284.030,5245,309.543
PositionBrain,36.529,1171.302,353.811,5579,222.724
PositionBrain,35.986,1233.272,293.381,5531,263.761
PositionBrain,36.679,1293.009,265.717,5275,321.062
PositionBrain,34.826,1351.225,266.606,5207,220.366
PositionBrain,32.107,1410.389,321.656,5164,400.789
PositionBrain,31.904,1464.545,243.353,5170,401.728
PositionBrain,34.660,1519.520,229.233,5126,336.194
PositionBrain,35.310,1582.337,308.285,5472,371.145
PositionBrain,34.949,1651.138,400.359,5427,300.245
PositionBrain,35.320,1706.271,220.494,5604,204.957
PositionBrain,36.576,1768.024,291.597,5620,333.916
PositionBrain,34.919,1834.138,352.879,5166,343.053
PositionBrain,33.735,1886.789,224.906,5190,283.630
PositionBrain,34.355,1950.641,333.018,5483,233.940
PositionBrain,34.826,2013.329,326.029,5246,264.652
PositionBrain,36.138,2072.074,254.138,5335,270.033
PositionBrain,33.833,2131.545,296.168,5542,249.188
PositionBrain,35.942,2189.900,251.867,5281,291.937
PositionBrain,34.799,2249.341,273.590,5447,262.728
PositionBrain,34.258,2311.252,320.504,5392,382.301
PositionBrain,34.499,2375.815,359.695,5300,316.216
PositionBrain,32.129,2432.079,280.071,5335,206.848
PositionBrain,32.515,2483.270,211.487,5234,252.226
PositionBrain,31.684,2545.986,359.314,5323,219.336
PositionBrain,38.309,2612.840,332.134,5434,191.011
PositionBrain,38.405,2669.967,208.046,5518,219.699
PositionBrain,36.217,2739.836,404.370,5608,234.812
PositionBrain,34.834,2794.283,225.833,5163,315.312
PositionBrain,34.988,2855.132,294.591,5669,319.489
PositionBrain,36.162,2912.579,244.860,5173,315.342
PositionBrain,36.358,2977.912,332.622,5316,305.868
PositionBrain,38.371,3042.516,310.376,5685,305.663
PositionBrain,31.700,3100.147,302.246,5228,330.577
PositionBrain,33.461,3152.551,215.327,5208,237.546
PositionBrain,38.491,3217.088,300.461,5687,304.927
PositionBrain,35.571,3283.982,370.626,5650,231.793
PositionBrain,34.435,3344.913,313.632,5247,261.099
PositionBrain,31.490,3396.502,230.164,5134,274.402
PositionBrain,35.018,3462.278,358.433,5482,254.306
PositionBrain,35.083,3525.474,307.597,5485,229.951
PositionBrain,34.637,3577.411,188.363,5206,262.913
PositionBrain,37.158,3647.399,397.784,5550,286.330
