Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,68.507,136.653,748.799,10334,235.154
PositionBrain,69.894,252.696,490.315,10386,334.471
PositionBrain,70.926,372.103,558.272,10458,348.523
PositionBrain,69.911,491.335,588.120,10287,343.966
PositionBrain,68.339,606.481,489.541,10498,314.240
PositionBrain,64.460,720.691,563.099,10276,260.805
PositionBrain,66.141,842.427,697.885,10346,319.755
PositionBrain,68.675,960.990,559.509,10312,268.200
PositionBrain,67.686,1074.740,496.342,10247,256.047
PositionBrain,65.748,1185.905,522.708,10267,191.714
PositionBrain,70.104,1307.696,628.195,10268,209.611
PositionBrain,65.359,1422.925,548.563,10323,181.956
PositionBrain,67.301,1540.912,569.066,10314,181.046
PositionBrain,68.661,1664.998,676.469,10297,170.690
PositionBrain,68.250,1785.910,575.043,10248,148.631
PositionBrain,71.573,1906.491,538.816,10243,159.124
PositionBrain,66.618,2027.552,622.050,10245,138.827
PositionBrain,66.557,2146.340,586.678,10272,133.471
PositionBrain,72.373,2275.959,625.109,10248,154.515
PositionBrain,71.030,2398.152,551.390,10255,145.799
PositionBrain,68.658,2523.735,589.829,10245,146.262
PositionBrain,69.099,2651.519,699.369,10272,151.852
PositionBrain,71.506,2782.153,625.788,10263,158.657
PositionBrain,71.179,2907.199,568.951,10257,163.157
PositionBrain,66.319,3028.325,575.848,10258,160.737
PositionBrain,66.424,3157.771,735.553,10241,164.887
PositionBrain,68.745,3289.165,708.608,10262,158.960
PositionBrain,70.956,3421.565,634.911,10261,180.108
PositionBrain,66.396,3546.417,602.736,10243,183.050
PositionBrain,71.684,3677.345,614.670,10242,186.754
PositionBrain,70.047,3801.193,560.788,10260,211.086
PositionBrain,72.759,3932.342,629.798,10247,202.695
PositionBrain,72.609,4066.022,633.021,10250,207.671
PositionBrain,67.718,4193.580,656.069,10261,210.270
PositionBrain,67.456,4323.692,653.210,10250,205.303
PositionBrain,67.126,4455.349,658.710,10248,230.328
PositionBrain,66.857,4580.790,619.298,10244,212.359
PositionBrain,66.230,4706.791,607.334,10247,236.973
PositionBrain,66.430,4833.369,660.015,10248,238.232
PositionBrain,69.582,4967.497,655.221,10242,237.910
PositionBrain,68.821,5094.463,594.174,10249,244.779
PositionBrain,66.668,5224.085,679.012,10259,246.784
PositionBrain,69.061,5356.184,651.003,10270,244.147
PositionBrain,69.278,5481.982,610.459,10249,272.084
PositionBrain,66.483,5610.834,652.232,10242,283.480
PositionBrain,69.013,5744.808,658.308,10254,281.848
PositionBrain,68.965,5870.537,614.395,10241,281.837
PositionBrain,70.546,6004.418,678.673,10243,272.657
PositionBrain,69.566,6139.662,688.895,10241,292.203
PositionBrain,66.711,6263.473,614.958,10247,290.819
PositionBrain,66.903,6393.216,656.989,10241,292.891
PositionBrain,70.663,6529.167,682.975,10262,321.417
PositionBrain,65.960,6652.414,615.958,10261,300.644
PositionBrain,70.421,6785.752,671.113,10242,305.796
PositionBrain,68.090,6920.037,694.148,10245,308.645
PositionBrain,68.787,7046.071,621.215,10244,340.412
PositionBrain,67.212,7177.239,694.728,10249,326.446
PositionBrain,70.736,7314.024,700.551,10244,325.149
PositionBrain,65.684,7437.244,618.085,10252,333.011
PositionBrain,69.626,7570.187,662.638,10249,329.022
PositionBrain,70.634,7707.397,696.306,10244,328.287
PositionBrain,69.463,7834.190,621.818,10253,333.749
PositionBrain,67.354,7966.517,698.796,10245,343.170
PositionBrain,70.680,8106.652,781.711,10241,333.161
PositionBrain,72.464,8248.264,704.028,10252,324.412
PositionBrain,69.762,8387.803,703.200,10243,353.748
PositionBrain,66.804,8520.522,693.163,10245,332.093
PositionBrain,69.272,8657.492,726.992,10247,344.609
PositionBrain,69.710,8795.470,702.898,10246,351.370
PositionBrain,70.000,8931.830,665.439,10246,349.873
PositionBrain,66.616,9060.802,642.712,10246,350.350
PositionBrain,70.422,9200.931,742.625,10251,340.430
PositionBrain,69.391,9332.038,620.236,10243,362.250
PositionBrain,70.158,9464.633,631.156,10242,362.439
PositionBrain,69.742,9603.455,750.774,10255,366.664
PositionBrain,67.376,9737.866,686.354,10248,370.833
PositionBrain,66.602,9870.038,700.296,10243,358.790
PositionBrain,72.186,10011.061,767.309,10253,371.635
PositionBrain,66.500,10141.728,674.504,10248,364.132
PositionBrain,69.608,10274.552,639.873,10245,364.369
PositionBrain,71.887,10416.324,753.417,10241,380.241
PositionBrain,64.473,10544.363,665.782,10254,371.855
PositionBrain,69.279,10675.971,642.011,10247,378.678
PositionBrain,72.186,10817.779,763.781,10247,363.394
PositionBrain,66.947,10947.275,665.129,10244,378.774
PositionBrain,70.472,11080.962,636.063,10243,382.380
PositionBrain,71.941,11221.901,762.885,10248,361.821
PositionBrain,67.942,11352.321,659.455,10261,400.177
PositionBrain,67.670,11484.103,665.337,10241,384.723
PositionBrain,70.569,11624.470,749.067,10247,380.676
PositionBrain,66.488,11752.271,639.272,10248,371.937
PositionBrain,67.287,11882.692,654.318,10252,382.745
PositionBrain,72.074,12023.563,733.210,10246,385.199
PositionBrain,68.669,12152.893,628.633,10256,390.889
PositionBrain,66.957,12283.862,681.876,10244,384.638
