Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,53.297,93.467,428.194,5218,236.501
PositionBrain,49.252,171.627,324.823,5484,283.382
PositionBrain,51.277,250.860,332.659,5312,400.718
PositionBrain,49.895,319.190,200.003,5188,303.301
PositionBrain,46.036,391.638,297.846,5172,240.997
PositionBrain,49.867,473.792,376.216,5580,321.583
PositionBrain,48.040,542.419,236.912,5465,294.093
PositionBrain,50.080,629.276,428.391,5486,344.180
PositionBrain,51.141,701.430,224.759,5464,330.937
PositionBrain,42.757,769.357,276.896,5129,312.120
PositionBrain,48.375,836.671,219.861,5293,343.889
PositionBrain,45.536,915.265,385.305,5266,277.843
PositionBrain,46.259,987.791,312.723,5324,259.049
PositionBrain,45.560,1057.884,290.035,5146,357.049
PositionBrain,48.747,1137.354,352.411,5137,322.439
PositionBrain,48.519,1215.766,349.352,5296,250.332
PositionBrain,50.010,1287.784,235.582,5334,292.000
PositionBrain,48.306,1360.305,286.238,5158,352.282
PositionBrain,43.779,1431.865,318.565,5133,329.866
PositionBrain,42.947,1496.239,251.631,5220,285.011
PositionBrain,48.192,1566.048,260.909,5197,315.668
PositionBrain,51.753,1648.997,359.029,5239,284.075
PositionBrain,46.368,1718.033,250.327,5291,414.937
PositionBrain,47.592,1790.829,298.353,5156,346.733
PositionBrain,47.598,1874.391,411.472,5350,310.700
PositionBrain,44.521,1939.234,238.298,5231,329.940
PositionBrain,44.690,2004.430,240.362,5182,288.595
PositionBrain,46.689,2079.883,332.522,5147,334.593
PositionBrain,48.362,2153.218,277.826,5122,320.333
PositionBrain,46.888,2222.591,245.027,5375,276.522
PositionBrain,47.010,2297.335,326.388,5130,281.248
PositionBrain,43.873,2365.861,280.136,5211,366.497
PositionBrain,44.160,2437.777,335.667,5215,357.385
PositionBrain,47.467,2508.824,285.810,5133,389.525
PositionBrain,47.350,2584.046,311.125,5255,427.857
PositionBrain,42.191,2648.119,239.594,5145,381.728
PositionBrain,45.474,2713.597,231.484,5248,372.828
PositionBrain,43.236,2784.984,325.360,5232,350.538
PositionBrain,44.664,2856.948,333.517,5196,362.945
PositionBrain,48.653,2932.208,298.961,5253,430.670
PositionBrain,43.598,2995.818,224.947,5291,413.414
PositionBrain,44.472,3063.119,249.169,5141,355.358
PositionBrain,46.326,3136.797,318.286,5462,363.468
PositionBrain,44.828,3208.548,315.685,5314,413.786
PositionBrain,48.085,3278.967,261.331,5270,385.331
PositionBrain,48.235,3353.213,298.121,5212,368.560
PositionBrain,44.567,3427.140,335.580,5413,448.204
PositionBrain,49.891,3497.971,229.180,5806,338.954
PositionBrain,42.869,3567.867,326.647,5132,358.699
PositionBrain,44.909,3637.843,296.293,5144,485.810
PositionBrain,48.280,3709.616,261.258,5169,436.249
PositionBrain,42.350,3783.034,345.345,5133,427.861
PositionBrain,44.985,3847.952,225.438,5125,362.379
PositionBrain,44.955,3913.915,233.327,5203,382.829
PositionBrain,44.544,3982.578,282.314,5156,406.691
PositionBrain,46.548,4053.818,295.999,5121,403.560
PositionBrain,47.175,4126.506,287.666,5141,355.752
PositionBrain,42.424,4191.402,233.510,5184,289.545
PositionBrain,44.952,4262.085,287.066,5162,372.450
PositionBrain,45.635,4332.154,284.457,5463,336.306
PositionBrain,43.674,4399.497,270.882,5130,302.951
PositionBrain,49.955,4479.268,345.217,5362,372.289
PositionBrain,44.311,4549.365,292.891,5182,384.042
PositionBrain,47.247,4620.317,267.296,5469,446.663
PositionBrain,44.929,4689.987,291.890,5182,480.133
PositionBrain,44.195,4756.646,260.079,5258,383.102
PositionBrain,46.895,4834.354,372.260,5246,389.744
PositionBrain,48.881,4908.101,288.035,5308,387.031
PositionBrain,43.057,4973.060,242.059,5262,366.186
PositionBrain,44.633,5046.950,300.108,5244,425.697
PositionBrain,44.051,5106.507,176.123,5190,492.736
PositionBrain,44.108,5175.318,283.732,5226,390.297
PositionBrain,49.176,5256.243,359.549,5171,382.404
PositionBrain,52.048,5334.310,300.082,5513,413.010
PositionBrain,49.062,5410.286,317.573,5233,443.616
PositionBrain,46.381,5481.205,279.116,5402,451.066
PositionBrain,49.327,5554.153,273.663,5164,385.313
PositionBrain,48.593,5628.672,293.262,5196,371.276
PositionBrain,44.846,5697.239,270.583,5229,370.260
PositionBrain,48.552,5770.599,282.643,5401,402.819
PositionBrain,47.934,5844.079,300.192,5136,394.170
PositionBrain,48.608,5918.026,276.089,5170,340.783
PositionBrain,46.739,5993.519,330.195,5424,366.810
PositionBrain,45.352,6062.999,279.272,5244,425.427
PositionBrain,43.791,6132.904,300.418,5137,362.925
PositionBrain,44.476,6203.304,304.611,5193,376.644
PositionBrain,44.032,6271.385,293.752,5172,390.371
PositionBrain,44.212,6337.051,253.726,5122,443.781
PositionBrain,49.240,6413.281,316.039,5159,353.999
PositionBrain,48.701,6487.686,295.531,5180,396.563
PositionBrain,47.956,6558.287,248.799,5123,399.101
PositionBrain,45.540,6632.227,335.108,5139,399.069
PositionBrain,44.129,6700.920,287.112,5146,311.301
PositionBrain,42.519,6766.112,269.724,5126,350.116
PositionBrain,45.799,6833.508,255.936,5133,388.524
PositionBrain,46.813,6908.153,324.998,5163,422.928
PositionBrain,42.577,6975.470,294.107,5171,375.929
PositionBrain,46.950,7047.411,287.175,5124,396.384
PositionBrain,44.096,7115.028,271.956,5197,339.304
PositionBrain,48.169,7187.222,280.450,5345,433.141
PositionBrain,46.085,7257.430,279.263,5152,338.771
PositionBrain,44.661,7327.835,310.704,5200,404.763
PositionBrain,44.819,7396.633,262.380,5201,347.754
PositionBrain,43.601,7464.084,257.672,5144,392.296
