Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,61.338,98.685,394.251,5378,210.460
PositionBrain,60.065,184.693,285.727,5129,294.543
PositionBrain,57.102,263.169,241.512,5123,267.844
PositionBrain,55.084,343.405,290.658,5223,317.979
PositionBrain,64.979,431.995,273.745,5545,313.374
PositionBrain,64.203,521.383,293.991,5157,273.834
PositionBrain,61.662,610.695,310.882,5131,295.293
PositionBrain,57.853,690.157,247.453,5256,281.588
PositionBrain,58.094,775.697,318.805,5132,304.280
PositionBrain,60.776,858.237,245.572,5294,255.588
PositionBrain,59.842,943.483,303.023,5250,300.762
PositionBrain,59.152,1029.755,329.242,5263,234.445
PositionBrain,59.262,1114.543,292.533,5179,310.909
PositionBrain,58.133,1193.545,243.112,5159,249.027
PositionBrain,59.137,1275.194,271.892,5137,243.089
PositionBrain,60.797,1364.749,338.239,5195,279.491
PositionBrain,61.088,1450.990,291.743,5383,242.537
PositionBrain,58.247,1534.040,291.281,5239,261.567
PositionBrain,59.695,1616.950,261.236,5131,256.078
PositionBrain,64.513,1710.098,327.403,5170,243.348
PositionBrain,63.760,1795.561,244.172,5270,195.794
PositionBrain,59.658,1880.749,287.995,5204,228.152
PositionBrain,59.293,1969.099,348.184,5188,233.701
PositionBrain,57.857,2050.460,263.596,5160,236.127
PositionBrain,60.044,2134.565,276.016,5308,178.889
PositionBrain,63.044,2223.699,297.642,5147,175.463
PositionBrain,62.988,2313.596,302.897,5132,174.716
PositionBrain,57.164,2396.105,292.134,5139,165.458
PositionBrain,56.539,2477.592,283.260,5122,174.637
PositionBrain,56.857,2558.951,287.506,5126,197.373
PositionBrain,58.316,2643.131,298.848,5124,153.023
PositionBrain,58.595,2728.214,309.727,5122,170.395
PositionBrain,59.121,2813.512,292.128,5140,162.744
PositionBrain,58.337,2898.773,302.881,5123,182.183
PositionBrain,60.805,2985.854,306.081,5148,182.311
PositionBrain,57.561,3069.949,296.376,5140,165.094
PositionBrain,58.839,3155.822,303.417,5131,144.623
PositionBrain,59.133,3241.738,289.253,5135,183.621
PositionBrain,64.689,3335.212,326.094,5146,183.118
PositionBrain,65.437,3430.014,324.412,5128,176.519
PositionBrain,58.817,3517.902,312.917,5139,190.285
PositionBrain,58.531,3605.304,327.428,5139,199.518
PositionBrain,61.224,3696.505,334.197,5128,212.359
PositionBrain,60.528,3785.783,313.617,5144,210.180
PositionBrain,58.556,3873.969,334.401,5152,208.136
PositionBrain,59.295,3961.498,309.135,5126,203.703
PositionBrain,58.029,4051.347,365.104,5134,229.805
PositionBrain,60.095,4140.162,301.791,5154,218.051
PositionBrain,61.141,4230.126,312.343,5130,240.375
PositionBrain,59.379,4319.415,333.262,5158,232.972
PositionBrain,58.367,4408.331,335.718,5131,254.882
PositionBrain,65.402,4505.704,361.466,5123,266.784
PositionBrain,64.462,4602.869,344.366,5131,264.302
PositionBrain,64.746,4699.354,339.145,5134,278.991
PositionBrain,60.287,4791.839,338.417,5126,305.603
PositionBrain,59.948,4883.680,347.836,5123,290.214
PositionBrain,57.683,4971.925,328.792,5139,301.135
PositionBrain,59.553,5063.915,368.171,5125,317.051
PositionBrain,59.247,5156.773,385.242,5130,311.318
PositionBrain,58.878,5247.158,343.195,5130,329.124
PositionBrain,57.966,5336.272,332.404,5129,337.524
PositionBrain,58.038,5426.149,354.956,5125,374.324
PositionBrain,64.349,5522.133,347.498,5129,360.583
PositionBrain,63.258,5619.062,352.072,5126,394.345
PositionBrain,64.521,5717.293,344.923,5127,388.266
PositionBrain,56.497,5805.324,331.050,5121,412.203
PositionBrain,60.640,5897.717,344.238,5125,405.339
PositionBrain,59.816,5989.493,341.187,5126,406.778
PositionBrain,59.741,6082.416,368.581,5133,441.099
PositionBrain,57.642,6174.563,386.167,5128,427.094
PositionBrain,59.539,6265.880,328.629,5128,443.725
