Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,118.948,162.510,462.773,5131,228.734
PositionBrain,110.993,300.338,298.328,5295,291.443
PositionBrain,111.531,443.994,365.955,5409,305.918
PositionBrain,118.409,580.881,203.192,5706,235.936
PositionBrain,121.769,733.917,353.141,5453,277.404
PositionBrain,117.992,870.769,210.014,5359,329.114
PositionBrain,116.392,1022.608,424.769,5243,358.167
PositionBrain,124.734,1174.316,294.581,5249,289.071
PositionBrain,124.799,1322.991,246.559,5495,270.008
PositionBrain,115.051,1468.258,338.974,5149,328.848
PositionBrain,116.215,1606.511,245.420,5123,210.536
PositionBrain,120.420,1755.554,320.405,5629,247.427
PositionBrain,114.083,1890.669,234.801,5168,296.765
PositionBrain,117.722,2035.097,309.130,5246,370.130
PositionBrain,109.985,2170.058,291.563,5228,346.944
PositionBrain,127.542,2325.926,329.612,5572,184.086
PositionBrain,122.100,2471.542,263.794,5383,223.935
PositionBrain,124.539,2627.185,359.050,5525,288.802
PositionBrain,116.542,2763.834,219.196,5319,238.408
PositionBrain,110.161,2901.974,316.214,5250,353.159
PositionBrain,119.502,3050.359,344.547,5405,298.690
PositionBrain,126.583,3200.892,260.369,5591,203.994
PositionBrain,118.484,3346.167,311.370,5622,294.129
PositionBrain,110.812,3477.933,244.757,5193,256.464
PositionBrain,120.293,3622.206,270.071,5178,292.893
PositionBrain,119.608,3781.008,462.479,5593,319.557
PositionBrain,110.754,3914.429,253.906,5175,155.730
PositionBrain,114.861,4054.677,292.305,5544,351.698
PositionBrain,107.661,4186.825,283.502,5223,280.437
PositionBrain,116.871,4323.951,242.784,5306,258.379
PositionBrain,118.391,4471.549,341.534,5394,339.683
PositionBrain,105.790,4598.389,254.979,5194,292.309
PositionBrain,119.133,4744.187,304.638,5176,260.183
PositionBrain,116.880,4885.293,267.452,5225,247.577
PositionBrain,116.401,5024.732,266.846,5207,281.100
PositionBrain,114.769,5167.722,332.093,5386,306.115
PositionBrain,108.750,5302.571,301.220,5154,357.245
PositionBrain,115.618,5440.738,254.030,5540,313.514
PositionBrain,125.518,5596.549,358.915,5539,360.835
PositionBrain,109.548,5733.805,325.468,5196,274.871
PositionBrain,122.955,5881.428,281.503,5846,287.401
PositionBrain,118.499,6022.004,258.907,5137,336.583
PositionBrain,117.318,6175.675,420.505,5476,355.439
PositionBrain,120.044,6320.332,285.370,5436,286.995
PositionBrain,115.071,6458.447,261.445,5386,285.633
PositionBrain,109.792,6595.304,312.186,5192,349.382
PositionBrain,112.333,6731.480,278.239,5133,336.080
PositionBrain,115.780,6871.607,287.549,5184,268.894
PositionBrain,113.733,7010.546,253.258,5440,391.317
PositionBrain,117.959,7148.721,237.814,5169,368.045
PositionBrain,118.330,7304.246,428.119,5316,407.808
PositionBrain,116.281,7438.638,200.756,5284,150.042
PositionBrain,110.969,7576.220,308.346,5200,413.702
PositionBrain,107.669,7709.402,311.791,5215,400.619
PositionBrain,112.330,7848.455,317.982,5433,185.211
PositionBrain,120.336,7995.494,305.742,5295,321.645
