Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,112.657,149.690,373.510,5294,223.835
PositionBrain,106.813,280.258,276.333,5226,357.185
PositionBrain,111.921,424.176,368.201,5315,292.992
PositionBrain,117.659,567.903,288.223,5707,271.643
PositionBrain,102.414,696.247,308.060,5183,306.898
PositionBrain,114.574,836.530,288.048,5219,260.886
PositionBrain,107.125,973.151,348.726,5124,231.703
PositionBrain,111.707,1110.666,284.209,5432,99.687
PositionBrain,105.862,1238.575,264.328,5159,221.764
PositionBrain,107.477,1367.662,267.152,5210,268.015
PositionBrain,108.839,1509.514,398.461,5220,261.169
PositionBrain,120.212,1650.680,234.040,5564,226.215
PositionBrain,127.028,1801.739,283.357,5760,245.343
PositionBrain,105.171,1945.528,482.167,5169,335.924
PositionBrain,109.483,2070.660,181.304,5360,393.962
PositionBrain,117.460,2222.798,414.959,5747,269.950
PositionBrain,117.273,2371.696,374.299,5593,180.040
PositionBrain,105.205,2495.271,209.319,5132,195.976
PositionBrain,116.123,2640.450,353.922,5128,160.864
PositionBrain,114.631,2777.435,262.959,5207,210.692
PositionBrain,117.152,2923.548,339.864,5630,117.173
PositionBrain,112.668,3061.351,299.029,5444,283.267
PositionBrain,108.742,3191.389,246.689,5336,266.084
PositionBrain,117.352,3337.665,341.760,5645,285.041
PositionBrain,111.363,3481.067,387.454,5216,356.453
PositionBrain,122.642,3629.243,303.449,5422,278.114
PositionBrain,114.342,3766.869,279.405,5507,227.031
PositionBrain,115.379,3919.740,452.293,5554,328.852
PositionBrain,108.852,4045.885,203.618,5235,241.111
PositionBrain,117.039,4191.157,319.313,5366,164.617
PositionBrain,112.050,4334.471,378.692,5313,182.719
PositionBrain,126.677,4480.936,226.551,5713,218.592
PositionBrain,125.307,4635.281,342.056,5492,181.267
PositionBrain,108.656,4762.064,189.854,5188,250.452
PositionBrain,118.904,4915.988,420.733,5530,127.045
PositionBrain,108.121,5053.289,360.618,5200,229.839
PositionBrain,117.574,5187.229,185.631,5300,322.513
PositionBrain,111.403,5327.565,345.409,5250,328.438
PositionBrain,111.531,5474.521,442.250,5169,294.217
PositionBrain,119.106,5605.262,130.895,5154,116.476
PositionBrain,117.306,5751.697,339.428,5215,327.014
PositionBrain,120.189,5901.291,352.281,5582,276.742
PositionBrain,117.885,6046.613,326.640,5335,254.469
PositionBrain,107.775,6181.994,354.837,5130,227.448
PositionBrain,119.345,6337.201,437.415,5658,167.496
PositionBrain,112.204,6466.314,180.449,5190,190.387
PositionBrain,123.168,6617.041,334.848,5535,272.805
PositionBrain,118.302,6763.737,343.816,5162,240.888
PositionBrain,114.362,6904.783,314.769,5347,187.192
PositionBrain,110.500,7036.815,246.880,5168,230.430
PositionBrain,110.743,7172.217,287.646,5178,192.229
PositionBrain,111.171,7310.398,331.353,5274,206.945
PositionBrain,114.548,7446.408,245.197,5199,280.571
PositionBrain,122.553,7599.772,364.763,5377,129.366
PositionBrain,110.536,7733.031,264.712,5335,161.172
PositionBrain,117.725,7873.890,275.491,5403,158.721
PositionBrain,116.657,8025.585,448.837,5529,179.955
PositionBrain,114.064,8162.366,271.095,5358,182.169
PositionBrain,114.999,8303.829,308.184,5358,241.077
PositionBrain,114.378,8449.204,393.522,5229,161.147
PositionBrain,124.524,8591.211,196.612,5492,92.542
