Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,27.329,65.523,410.624,5280,240.196
PositionBrain,27.045,115.297,244.474,5342,344.124
PositionBrain,27.316,172.628,336.956,5255,314.280
PositionBrain,27.069,220.895,223.212,5219,341.228
PositionBrain,27.238,278.167,336.695,5161,347.344
PositionBrain,26.682,329.549,265.320,5372,332.346
PositionBrain,26.061,382.771,298.403,5271,348.899
PositionBrain,26.452,432.059,264.473,5383,367.574
PositionBrain,26.014,485.776,324.963,5151,341.438
PositionBrain,25.791,541.955,351.184,5149,282.428
PositionBrain,26.274,588.411,237.062,5507,288.907
PositionBrain,25.355,642.065,338.376,5428,367.532
PositionBrain,26.924,698.801,345.449,5193,221.359
PositionBrain,26.039,746.829,262.316,5242,284.394
PositionBrain,25.849,803.575,363.606,5630,347.369
PositionBrain,25.946,851.982,253.171,5714,321.971
PositionBrain,26.220,909.622,377.793,5211,347.048
PositionBrain,26.419,956.343,229.712,5270,277.751
PositionBrain,26.652,1011.215,327.623,5138,262.278
PositionBrain,26.051,1059.702,257.742,5182,321.790
PositionBrain,26.389,1111.134,281.486,5582,290.898
PositionBrain,26.494,1166.857,354.385,5280,359.304
PositionBrain,26.623,1222.085,346.605,5405,340.140
PositionBrain,27.234,1278.412,309.113,5154,286.891
PositionBrain,27.373,1332.322,288.122,5356,322.129
PositionBrain,26.873,1380.093,226.302,5160,282.321
PositionBrain,26.258,1432.841,279.602,5228,293.404
PositionBrain,25.762,1481.550,244.583,5182,263.588
PositionBrain,25.344,1531.450,273.117,5653,315.839
PositionBrain,25.548,1581.692,272.108,5168,321.621
PositionBrain,25.347,1632.561,305.109,5150,299.149
PositionBrain,25.233,1679.184,252.690,5196,296.257
PositionBrain,25.986,1729.069,282.036,5501,260.522
PositionBrain,26.077,1780.804,291.316,5329,300.964
PositionBrain,25.662,1832.442,294.054,5170,351.605
PositionBrain,26.030,1880.944,244.929,5158,288.195
PositionBrain,25.755,1930.749,273.050,5387,345.745
PositionBrain,26.306,1978.729,251.719,5201,274.410
PositionBrain,26.461,2036.928,385.159,5309,282.954
PositionBrain,25.832,2082.955,229.096,5237,350.527
PositionBrain,25.945,2131.754,265.225,5132,338.262
PositionBrain,26.987,2185.225,286.417,5306,302.667
PositionBrain,27.036,2239.418,305.024,5186,241.083
PositionBrain,26.722,2288.465,236.666,5256,196.656
PositionBrain,26.964,2338.687,253.885,5149,186.006
PositionBrain,25.038,2386.986,237.353,5157,196.994
PositionBrain,25.232,2436.052,267.595,5388,199.330
PositionBrain,26.080,2491.018,340.221,5123,202.052
PositionBrain,26.031,2538.172,239.030,5163,226.786
PositionBrain,26.369,2586.697,248.657,5135,164.111
PositionBrain,26.446,2641.749,345.577,5257,160.727
PositionBrain,25.986,2695.157,333.105,5159,172.389
PositionBrain,25.782,2745.086,277.675,5134,173.933
PositionBrain,26.177,2796.862,284.148,5129,165.581
PositionBrain,26.298,2846.780,272.384,5159,160.660
PositionBrain,25.981,2896.319,274.548,5139,171.045
PositionBrain,26.077,2947.581,277.837,5163,150.846
PositionBrain,26.279,2999.269,270.317,5129,153.257
PositionBrain,26.065,3050.563,281.669,5137,154.637
PositionBrain,26.195,3105.903,350.126,5132,143.714
PositionBrain,26.730,3161.461,314.618,5128,135.295
PositionBrain,26.723,3216.798,289.060,5130,156.523
PositionBrain,26.890,3271.068,282.628,5144,125.240
PositionBrain,26.763,3326.189,291.176,5134,156.252
PositionBrain,25.967,3378.634,273.167,5136,161.397
PositionBrain,26.129,3431.998,291.324,5132,150.948
PositionBrain,25.567,3485.169,306.020,5128,159.314
PositionBrain,25.445,3537.242,289.861,5123,174.256
PositionBrain,25.298,3588.717,284.384,5129,164.190
PositionBrain,25.414,3640.637,294.632,5122,191.410
