Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,34.655,73.522,448.761,5592,248.623
PositionBrain,33.763,122.147,156.184,5150,99.691
PositionBrain,31.631,181.545,294.766,5138,31.041
PositionBrain,30.841,242.251,340.511,5121,29.829
PositionBrain,30.994,303.881,353.230,5130,29.829
PositionBrain,31.845,365.523,339.177,5121,29.829
PositionBrain,31.770,425.061,293.304,5121,29.829
PositionBrain,32.388,485.917,294.966,5130,29.828
PositionBrain,32.402,546.794,309.278,5121,29.828
PositionBrain,31.595,607.075,319.292,5139,29.829
PositionBrain,31.485,666.550,310.197,5121,29.829
PositionBrain,30.884,727.465,344.898,5121,29.829
PositionBrain,34.778,792.758,355.228,5121,29.829
PositionBrain,35.188,858.273,322.129,5121,29.829
PositionBrain,34.814,923.174,312.564,5139,29.829
PositionBrain,33.402,986.098,320.932,5130,29.829
PositionBrain,31.542,1045.287,308.871,5121,29.829
PositionBrain,31.290,1105.188,310.426,5139,29.829
PositionBrain,31.023,1163.915,307.072,5130,29.829
PositionBrain,30.077,1220.810,298.994,5121,29.829
PositionBrain,30.239,1277.261,296.895,5157,29.829
PositionBrain,31.966,1337.368,319.917,5121,29.829
PositionBrain,32.216,1397.298,308.725,5121,29.829
PositionBrain,32.028,1456.763,300.683,5121,29.829
PositionBrain,31.729,1516.406,298.978,5121,29.829
PositionBrain,31.228,1575.490,301.432,5121,29.829
PositionBrain,30.955,1633.722,285.770,5130,29.829
PositionBrain,34.448,1695.399,294.988,5130,29.829
PositionBrain,34.909,1760.174,316.401,5121,29.829
PositionBrain,35.028,1824.724,322.933,5130,29.829
PositionBrain,33.637,1888.142,327.560,5121,29.829
PositionBrain,30.259,1944.366,293.371,5148,29.829
PositionBrain,30.874,2001.340,281.147,5121,29.829
PositionBrain,31.726,2061.977,324.970,5130,29.829
PositionBrain,31.546,2120.974,303.618,5121,29.829
