Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
PositionBrain,35.439,72.341,406.957,5165,251.491
PositionBrain,35.032,127.599,208.956,5123,27.549
PositionBrain,33.738,194.466,363.809,5130,21.823
PositionBrain,32.889,269.630,514.293,5426,5.101
PositionBrain,32.389,337.605,413.911,5409,0.737
PositionBrain,33.460,386.890,162.481,5409,-2.771
PositionBrain,33.133,452.738,389.871,5409,-2.771
PositionBrain,32.765,513.011,318.787,5409,-2.771
PositionBrain,31.691,567.750,265.200,5409,-2.769
PositionBrain,33.176,628.979,331.007,5409,-2.770
PositionBrain,32.694,689.168,316.451,5409,-2.769
PositionBrain,35.387,748.487,267.695,5409,-2.772
PositionBrain,34.663,816.142,378.665,5409,-2.771
PositionBrain,33.975,876.631,298.616,5409,-2.769
PositionBrain,33.141,941.476,363.644,5409,-2.771
PositionBrain,33.280,997.774,264.954,5409,-2.770
PositionBrain,32.810,1064.741,419.833,5409,-2.770
PositionBrain,32.838,1122.148,278.700,5409,-2.770
PositionBrain,33.163,1182.874,328.305,5409,-2.771
PositionBrain,32.936,1241.481,291.592,5409,-2.770
PositionBrain,33.652,1301.143,288.960,5409,-2.771
PositionBrain,33.878,1355.845,241.947,5409,-2.770
PositionBrain,32.498,1417.958,339.333,5409,-2.769
PositionBrain,32.586,1481.138,347.516,5409,-2.768
PositionBrain,33.210,1536.644,264.095,5409,-2.770
PositionBrain,32.458,1592.784,270.200,5409,-2.771
PositionBrain,32.817,1656.044,353.972,5409,-2.770
