Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,18.312,44.500,248.810,5138,0.002
TransportBrain,18.604,87.575,261.346,5126,0.004
TransportBrain,18.488,130.760,263.806,5163,0.005
TransportBrain,16.938,169.969,218.919,5149,0.004
TransportBrain,18.013,210.825,232.738,5144,0.005
TransportBrain,18.273,251.973,238.020,5125,0.019
TransportBrain,18.550,294.894,254.762,5179,0.014
TransportBrain,18.033,337.214,256.190,5148,0.007
TransportBrain,17.895,377.679,223.523,5123,0.031
TransportBrain,17.773,418.037,227.465,5160,0.010
TransportBrain,17.616,459.113,239.654,5150,0.011
TransportBrain,18.971,501.209,238.746,5130,0.024
TransportBrain,18.738,543.700,253.414,5124,0.032
TransportBrain,18.922,587.974,272.926,5131,0.078
TransportBrain,18.981,631.300,256.382,5141,0.043
TransportBrain,18.251,672.081,223.733,5130,0.110
TransportBrain,18.629,715.357,260.008,5132,0.039
TransportBrain,19.120,759.151,266.138,5139,0.063
TransportBrain,18.511,804.685,288.476,5125,0.037
TransportBrain,18.648,845.392,211.009,5138,0.033
TransportBrain,17.729,886.950,238.720,5140,0.083
TransportBrain,17.308,928.412,248.917,5128,0.063
TransportBrain,17.239,969.656,242.973,5137,0.050
TransportBrain,18.229,1015.553,299.504,5131,0.058
TransportBrain,19.712,1063.117,295.638,5122,0.055
TransportBrain,18.631,1109.817,297.100,5128,0.075
TransportBrain,17.040,1150.851,230.679,5128,0.071
TransportBrain,18.288,1196.258,288.067,5123,0.059
TransportBrain,18.882,1243.798,307.063,5121,0.068
TransportBrain,18.076,1289.159,284.804,5124,0.081
TransportBrain,17.823,1332.911,263.611,5128,0.050
TransportBrain,17.444,1376.577,266.933,5122,0.044
TransportBrain,18.954,1421.086,258.058,5124,0.038
TransportBrain,18.399,1467.682,297.488,5128,0.049
TransportBrain,19.423,1516.531,313.081,5127,0.037
TransportBrain,17.460,1560.069,263.454,5123,0.083
TransportBrain,18.114,1603.219,248.450,5123,0.057
TransportBrain,18.645,1649.089,287.461,5133,0.132
TransportBrain,18.607,1695.228,290.275,5125,0.130
TransportBrain,17.500,1739.539,276.416,5131,0.073
TransportBrain,17.254,1782.384,259.403,5124,0.137
TransportBrain,17.502,1826.744,275.254,5133,0.087
