Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,5.250,56.257,511.915,10264,0.003
TransportBrain,5.071,118.215,601.796,10256,-0.003
TransportBrain,5.695,189.715,635.459,10248,-0.002
TransportBrain,5.265,260.843,710.227,10248,-0.002
TransportBrain,4.989,323.417,621.896,10242,-0.000
TransportBrain,5.281,374.893,474.402,10267,0.040
TransportBrain,5.089,425.984,462.051,10256,0.039
TransportBrain,5.224,477.569,450.112,10264,0.019
TransportBrain,5.035,527.310,454.006,10272,0.002
TransportBrain,5.307,588.358,589.470,10248,-0.002
TransportBrain,5.283,653.675,633.871,10247,-0.002
TransportBrain,5.147,714.845,570.600,10241,0.001
TransportBrain,5.270,793.792,782.307,10253,-0.001
TransportBrain,5.090,862.758,675.236,10264,-0.002
TransportBrain,4.891,917.513,498.309,10247,-0.002
TransportBrain,5.207,980.339,600.996,10244,0.001
TransportBrain,5.018,1032.809,503.052,10255,0.037
TransportBrain,5.152,1094.919,587.354,10251,-0.001
TransportBrain,4.847,1149.026,517.129,10242,0.029
TransportBrain,4.845,1208.145,564.058,10244,0.073
TransportBrain,4.813,1274.533,640.763,10254,0.004
TransportBrain,4.633,1341.391,642.423,10249,-0.002
TransportBrain,4.749,1394.231,464.542,10257,0.000
TransportBrain,4.699,1458.870,600.464,10245,-0.003
TransportBrain,5.005,1522.758,616.458,10251,0.004
TransportBrain,4.783,1582.111,553.065,10244,-0.002
TransportBrain,4.950,1644.438,567.445,10244,-0.002
TransportBrain,5.013,1715.056,687.293,10243,-0.002
TransportBrain,4.846,1781.271,632.188,10244,-0.002
TransportBrain,4.996,1848.007,630.740,10248,-0.001
TransportBrain,4.695,1907.477,530.467,10242,-0.003
TransportBrain,4.972,1970.059,573.031,10245,-0.003
TransportBrain,4.800,2036.352,630.779,10257,-0.003
TransportBrain,4.830,2101.663,614.736,10260,-0.001
TransportBrain,4.953,2171.109,672.337,10242,-0.001
TransportBrain,4.742,2237.888,639.342,10254,-0.001
TransportBrain,4.697,2303.126,614.327,10248,-0.001
TransportBrain,4.762,2370.864,651.584,10244,-0.001
TransportBrain,5.083,2444.018,717.086,10250,-0.001
TransportBrain,5.012,2517.400,731.121,10242,-0.001
TransportBrain,4.965,2584.992,638.680,10246,-0.001
TransportBrain,4.884,2645.744,546.473,10241,-0.003
TransportBrain,5.005,2708.131,568.885,10242,-0.003
TransportBrain,4.953,2767.828,534.613,10245,-0.003
TransportBrain,4.948,2826.471,507.701,10248,-0.003
TransportBrain,4.814,2884.988,517.058,10242,-0.003
TransportBrain,4.883,2947.002,570.687,10242,-0.003
TransportBrain,4.861,3013.729,635.047,10248,-0.003
TransportBrain,4.694,3074.969,554.149,10245,-0.003
TransportBrain,5.015,3137.222,566.384,10242,-0.003
TransportBrain,4.816,3199.064,566.924,10242,-0.003
TransportBrain,4.888,3257.588,509.600,10254,-0.003
TransportBrain,5.023,3316.075,515.003,10254,-0.003
TransportBrain,4.723,3373.848,516.217,10248,-0.003
TransportBrain,4.890,3435.546,555.750,10248,-0.003
TransportBrain,4.820,3501.222,620.984,10245,-0.003
TransportBrain,5.147,3562.604,550.574,10251,-0.003
TransportBrain,5.034,3626.713,597.912,10245,-0.003
TransportBrain,4.990,3688.396,568.539,10248,-0.003
TransportBrain,5.067,3756.477,643.825,10242,-0.003
TransportBrain,4.917,3813.583,491.527,10242,-0.003
TransportBrain,4.825,3870.810,496.703,10248,-0.003
TransportBrain,4.757,3936.178,617.653,10248,-0.003
TransportBrain,4.781,4001.985,626.319,10248,-0.003
