Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,5.142,34.216,247.269,5133,0.002
TransportBrain,4.770,62.924,231.136,5134,0.012
TransportBrain,4.846,93.143,254.647,5123,0.006
TransportBrain,4.705,121.077,222.465,5136,0.008
TransportBrain,4.791,150.531,243.115,5150,0.039
TransportBrain,4.721,179.009,235.188,5126,0.058
TransportBrain,4.610,208.012,232.364,5122,0.052
TransportBrain,5.074,236.924,220.558,5121,0.058
TransportBrain,4.990,265.903,234.311,5157,0.051
TransportBrain,4.755,295.922,245.121,5127,0.058
TransportBrain,5.045,325.946,239.102,5138,0.060
TransportBrain,4.741,357.103,263.730,5121,0.107
TransportBrain,4.691,389.319,282.737,5129,0.083
TransportBrain,5.092,421.140,278.316,5135,0.093
TransportBrain,5.109,453.632,291.051,5127,0.073
TransportBrain,5.385,485.613,272.314,5128,0.135
TransportBrain,4.852,518.354,304.947,5127,0.077
TransportBrain,6.047,555.113,323.881,5124,0.114
TransportBrain,5.380,590.541,311.769,5129,0.176
TransportBrain,5.194,626.345,316.846,5138,0.173
TransportBrain,5.518,661.844,301.113,5124,0.160
TransportBrain,4.822,695.157,292.330,5136,0.143
TransportBrain,4.540,725.890,268.763,5144,0.170
TransportBrain,4.746,757.731,284.994,5122,0.262
TransportBrain,4.809,788.018,254.707,5122,0.177
TransportBrain,4.810,820.311,284.756,5133,0.245
TransportBrain,4.788,853.035,295.227,5127,0.198
TransportBrain,4.739,884.414,276.178,5124,0.243
TransportBrain,4.314,915.137,278.889,5144,0.271
TransportBrain,4.250,945.075,263.080,5142,0.287
TransportBrain,4.520,973.156,227.358,5151,0.322
TransportBrain,4.548,1001.538,236.236,5121,0.312
TransportBrain,4.490,1030.331,243.833,5122,0.375
TransportBrain,4.445,1058.262,232.886,5127,0.414
TransportBrain,4.267,1086.127,230.948,5129,0.413
TransportBrain,4.416,1118.034,291.569,5143,0.397
TransportBrain,4.327,1149.667,289.598,5123,0.420
TransportBrain,4.312,1181.996,305.775,5122,0.538
TransportBrain,4.405,1213.247,284.803,5124,0.503
TransportBrain,4.589,1245.088,292.920,5130,0.480
TransportBrain,4.407,1276.334,286.005,5139,0.584
TransportBrain,4.381,1307.910,290.812,5121,0.717
TransportBrain,3.982,1336.473,244.849,5135,0.605
TransportBrain,3.854,1363.794,233.216,5128,0.547
TransportBrain,4.079,1390.963,225.706,5121,0.638
TransportBrain,4.538,1418.550,228.726,5122,0.747
TransportBrain,4.361,1449.037,272.676,5122,0.734
TransportBrain,4.389,1479.129,266.673,5125,0.720
TransportBrain,4.270,1508.684,263.755,5139,0.818
TransportBrain,4.409,1538.142,260.925,5135,0.765
TransportBrain,4.303,1568.164,254.989,5125,0.839
TransportBrain,4.497,1598.532,263.703,5132,0.901
TransportBrain,4.496,1629.116,263.570,5121,0.898
TransportBrain,4.332,1659.810,269.740,5123,1.074
TransportBrain,4.288,1689.276,259.316,5130,1.018
TransportBrain,4.064,1718.281,256.208,5127,1.322
TransportBrain,4.092,1747.230,255.163,5122,1.012
TransportBrain,4.070,1776.368,257.810,5127,1.205
TransportBrain,4.369,1804.793,234.070,5126,1.135
TransportBrain,4.307,1833.467,243.881,5128,1.156
TransportBrain,4.240,1862.845,258.627,5131,1.150
TransportBrain,4.325,1892.920,267.801,5122,1.378
TransportBrain,4.279,1922.443,263.920,5124,1.410
TransportBrain,4.607,1951.078,240.368,5131,1.259
