Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,4.507,28.733,202.503,5121,0.003
TransportBrain,4.229,54.923,213.569,5125,0.006
TransportBrain,4.432,83.083,238.213,5138,0.010
TransportBrain,4.502,110.143,221.785,5143,0.016
TransportBrain,4.616,137.020,219.270,5134,0.036
TransportBrain,4.315,163.253,217.116,5135,0.027
TransportBrain,4.537,189.865,219.173,5131,0.035
TransportBrain,4.482,216.615,217.782,5145,0.024
TransportBrain,4.857,246.592,264.812,5123,0.066
TransportBrain,4.659,275.173,254.983,5142,0.083
TransportBrain,4.753,303.787,249.209,5125,0.171
TransportBrain,5.066,332.662,251.473,5124,0.131
TransportBrain,4.429,361.919,264.690,5122,0.101
TransportBrain,4.811,389.122,229.290,5123,0.182
TransportBrain,4.742,414.849,200.696,5127,0.156
TransportBrain,4.820,444.472,266.029,5129,0.178
TransportBrain,4.365,473.798,270.818,5142,0.262
TransportBrain,4.579,503.398,268.882,5125,0.214
TransportBrain,4.663,532.714,256.415,5125,0.228
TransportBrain,4.440,561.870,258.291,5152,0.226
TransportBrain,4.648,590.291,245.054,5121,0.420
TransportBrain,4.919,621.146,270.376,5133,0.483
TransportBrain,4.392,650.370,253.613,5135,0.482
TransportBrain,4.255,677.322,231.377,5124,0.493
TransportBrain,4.353,704.399,230.965,5150,0.555
TransportBrain,4.113,730.729,216.360,5121,0.759
TransportBrain,4.214,757.227,220.110,5126,0.685
TransportBrain,4.921,785.841,241.317,5130,0.709
TransportBrain,4.456,816.121,278.025,5143,0.893
TransportBrain,4.313,846.807,286.917,5122,0.832
TransportBrain,4.626,876.639,275.139,5126,1.025
TransportBrain,4.454,906.334,269.822,5126,1.010
TransportBrain,4.367,935.683,259.867,5124,1.033
TransportBrain,4.695,965.469,264.150,5126,0.938
TransportBrain,4.662,995.984,278.280,5146,1.260
TransportBrain,4.565,1027.149,279.633,5126,1.352
TransportBrain,4.380,1058.496,288.456,5165,1.486
TransportBrain,4.352,1088.214,270.819,5125,1.628
TransportBrain,4.540,1115.479,230.835,5122,1.857
TransportBrain,4.454,1143.071,228.459,5127,1.768
TransportBrain,4.613,1171.847,243.208,5130,1.848
TransportBrain,4.344,1200.471,253.750,5122,2.025
TransportBrain,4.133,1228.717,241.274,5145,1.853
TransportBrain,4.500,1257.711,250.718,5131,2.195
TransportBrain,4.931,1289.217,282.380,5128,2.373
TransportBrain,4.494,1319.983,282.300,5128,2.510
TransportBrain,4.315,1351.470,289.259,5126,2.794
TransportBrain,4.432,1383.381,304.538,5121,2.694
TransportBrain,4.552,1414.763,291.671,5135,2.741
TransportBrain,4.678,1442.681,231.791,5124,2.956
TransportBrain,4.831,1472.129,256.814,5128,3.063
TransportBrain,4.752,1504.277,301.453,5132,3.236
TransportBrain,5.015,1538.135,310.176,5129,3.390
TransportBrain,4.528,1570.256,299.120,5130,3.378
TransportBrain,4.647,1601.242,280.331,5132,3.495
TransportBrain,4.349,1632.225,279.244,5142,3.577
TransportBrain,4.332,1661.656,255.268,5125,3.630
TransportBrain,4.404,1689.856,237.971,5123,3.524
TransportBrain,4.102,1717.770,237.124,5128,3.655
TransportBrain,4.346,1746.210,237.378,5125,3.869
TransportBrain,4.862,1777.855,285.864,5141,3.896
TransportBrain,4.380,1810.349,313.466,5129,4.198
TransportBrain,4.346,1843.110,312.435,5137,4.222
TransportBrain,4.859,1874.987,289.373,5121,4.240
TransportBrain,4.819,1904.099,244.302,5123,4.033
TransportBrain,4.556,1933.343,248.474,5127,4.479
TransportBrain,4.647,1965.677,297.400,5124,4.198
TransportBrain,4.417,1996.372,275.037,5121,4.603
TransportBrain,4.606,2026.789,271.768,5125,4.386
TransportBrain,4.427,2056.862,259.603,5133,4.724
TransportBrain,4.601,2088.804,285.920,5140,4.657
TransportBrain,4.258,2120.232,284.078,5145,4.567
TransportBrain,4.487,2149.230,245.793,5131,4.446
TransportBrain,4.164,2178.663,253.108,5133,4.585
TransportBrain,4.476,2208.083,250.602,5134,4.888
TransportBrain,4.707,2238.831,275.243,5125,4.724
TransportBrain,4.533,2271.193,304.313,5138,4.706
TransportBrain,4.448,2304.267,311.109,5143,4.667
TransportBrain,4.430,2337.718,311.650,5132,4.709
TransportBrain,4.644,2369.593,290.086,5122,4.757
TransportBrain,4.750,2399.081,253.198,5122,4.833
TransportBrain,4.754,2430.223,280.418,5126,4.912
TransportBrain,4.395,2462.996,307.412,5137,5.078
TransportBrain,4.308,2495.078,297.059,5124,5.042
TransportBrain,4.532,2526.457,281.492,5133,5.067
TransportBrain,4.449,2556.569,258.999,5126,5.234
TransportBrain,4.476,2585.677,245.759,5126,5.049
TransportBrain,4.461,2615.433,253.735,5132,5.163
TransportBrain,4.223,2644.829,255.599,5131,5.080
TransportBrain,4.291,2674.338,249.145,5151,5.093
TransportBrain,3.997,2703.153,244.222,5143,5.317
TransportBrain,4.896,2735.437,291.046,5135,5.015
TransportBrain,4.845,2768.348,305.669,5124,5.621
TransportBrain,4.832,2801.315,300.979,5128,5.542
TransportBrain,4.494,2834.212,308.762,5135,5.415
TransportBrain,4.642,2866.008,290.865,5135,5.537
TransportBrain,4.704,2895.662,252.681,5125,5.409
