Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,3.903,50.579,424.135,10267,0.010
TransportBrain,4.088,102.848,502.938,10275,0.003
TransportBrain,4.187,153.342,477.978,10265,0.004
TransportBrain,3.777,201.822,449.916,10269,0.002
TransportBrain,4.040,250.936,449.053,10253,0.003
TransportBrain,4.149,298.765,426.291,10243,0.006
TransportBrain,3.686,346.091,432.395,10242,0.003
TransportBrain,3.997,399.761,534.177,10271,0.004
TransportBrain,3.815,455.274,556.917,10250,0.012
TransportBrain,3.873,511.942,553.856,10241,0.003
TransportBrain,3.711,557.932,417.617,10248,0.002
TransportBrain,3.843,607.798,471.480,10250,0.007
TransportBrain,3.899,653.865,422.706,10246,0.003
TransportBrain,3.902,697.539,398.789,10252,0.003
TransportBrain,3.713,741.372,395.638,10251,0.003
TransportBrain,3.650,786.424,419.808,10286,0.006
TransportBrain,3.811,830.646,406.057,10307,0.003
TransportBrain,3.769,878.839,454.904,10277,0.002
TransportBrain,3.624,928.419,480.932,10248,0.009
TransportBrain,3.574,974.150,421.374,10260,0.018
TransportBrain,3.711,1018.415,388.124,10263,0.004
TransportBrain,3.744,1067.787,482.686,10259,0.003
TransportBrain,3.576,1115.076,453.732,10243,0.008
TransportBrain,3.757,1158.907,403.157,10242,0.004
TransportBrain,3.586,1203.414,396.438,10242,0.003
TransportBrain,3.755,1245.590,366.315,10260,0.004
TransportBrain,3.775,1288.487,386.425,10253,0.003
TransportBrain,3.739,1335.685,442.466,10254,0.003
TransportBrain,3.679,1385.213,476.167,10244,0.003
TransportBrain,3.910,1432.612,448.720,10259,0.003
TransportBrain,3.872,1478.015,413.586,10254,0.003
TransportBrain,3.708,1525.639,445.286,10241,0.003
TransportBrain,3.594,1573.023,445.363,10245,0.010
TransportBrain,3.726,1616.873,380.851,10260,0.004
TransportBrain,3.755,1660.075,385.349,10277,0.003
TransportBrain,3.660,1703.642,396.233,10264,0.005
TransportBrain,3.757,1747.255,391.585,10254,0.003
TransportBrain,3.813,1792.827,422.444,10251,0.004
TransportBrain,3.851,1844.068,499.836,10242,0.010
TransportBrain,3.662,1893.544,486.307,10265,0.004
TransportBrain,3.941,1937.384,391.960,10250,0.003
TransportBrain,3.853,1984.162,434.267,10250,0.005
TransportBrain,3.865,2032.526,466.551,10266,0.005
TransportBrain,3.454,2077.618,424.708,10268,0.004
TransportBrain,3.723,2119.992,373.689,10266,0.006
TransportBrain,3.405,2163.831,394.363,10263,0.012
