Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,4.342,28.503,218.403,5141,0.002
TransportBrain,4.381,55.060,215.812,5123,0.026
TransportBrain,4.448,81.424,212.449,5190,0.009
TransportBrain,4.503,107.362,215.126,5185,0.019
TransportBrain,4.421,132.085,188.691,5155,0.066
TransportBrain,4.368,158.204,215.906,5132,0.070
TransportBrain,4.290,182.529,185.581,5157,0.133
TransportBrain,4.308,206.969,189.461,5147,0.090
TransportBrain,4.209,232.402,205.710,5122,0.090
TransportBrain,4.452,257.418,189.502,5129,0.115
TransportBrain,4.476,285.047,228.282,5137,0.125
TransportBrain,4.676,325.089,373.793,5131,0.001
TransportBrain,4.452,365.104,386.557,5128,-0.001
TransportBrain,4.498,397.053,297.216,5123,0.015
TransportBrain,4.653,430.886,314.646,5122,0.015
TransportBrain,4.726,461.672,276.469,5125,0.066
TransportBrain,4.851,492.041,275.218,5127,0.019
TransportBrain,4.596,525.163,304.970,5124,0.005
TransportBrain,4.682,558.430,310.500,5126,0.008
TransportBrain,4.648,588.796,277.729,5167,0.016
TransportBrain,4.572,619.700,276.104,5127,0.007
TransportBrain,4.715,648.573,254.333,5128,0.046
TransportBrain,4.527,675.405,221.305,5122,0.042
TransportBrain,4.704,704.347,251.010,5137,0.012
TransportBrain,4.728,738.152,317.863,5121,0.004
TransportBrain,4.500,769.171,269.015,5123,0.008
TransportBrain,4.385,798.787,254.030,5125,0.011
TransportBrain,4.351,826.353,229.753,5128,0.020
TransportBrain,4.247,853.329,225.395,5153,0.041
TransportBrain,4.603,882.525,243.978,5123,0.004
TransportBrain,4.552,911.888,244.469,5121,0.003
TransportBrain,4.405,938.982,222.312,5128,0.006
TransportBrain,4.713,968.017,229.726,5135,0.015
TransportBrain,4.817,998.965,258.274,5140,0.003
TransportBrain,4.882,1036.077,330.361,5121,-0.002
TransportBrain,4.416,1065.117,252.329,5143,0.084
TransportBrain,4.334,1096.322,279.372,5134,-0.001
TransportBrain,4.465,1127.922,282.532,5126,-0.001
TransportBrain,4.440,1163.904,333.850,5129,-0.002
TransportBrain,4.350,1195.664,281.014,5130,-0.001
TransportBrain,4.419,1228.725,287.405,5132,-0.002
TransportBrain,4.302,1262.142,294.671,5122,-0.002
TransportBrain,4.365,1296.774,315.676,5125,-0.002
TransportBrain,4.394,1332.416,325.085,5130,-0.002
TransportBrain,4.440,1367.243,306.749,5128,-0.002
TransportBrain,4.327,1399.871,281.460,5124,0.003
TransportBrain,4.040,1431.072,263.135,5122,-0.001
TransportBrain,3.936,1461.979,264.245,5121,0.007
TransportBrain,4.178,1490.367,231.736,5125,-0.002
TransportBrain,4.386,1523.565,296.300,5122,-0.002
TransportBrain,4.484,1558.049,317.553,5137,-0.003
TransportBrain,4.536,1595.554,357.282,5125,-0.002
TransportBrain,4.389,1630.636,329.606,5128,-0.003
TransportBrain,4.359,1667.506,352.553,5121,-0.002
TransportBrain,4.307,1705.116,360.680,5128,-0.002
TransportBrain,4.204,1740.030,328.602,5124,-0.003
TransportBrain,4.418,1776.147,337.088,5123,-0.002
TransportBrain,4.268,1808.395,285.700,5132,-0.003
TransportBrain,4.492,1842.040,302.005,5123,-0.003
TransportBrain,4.169,1873.888,281.871,5124,-0.003
