Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
TransportBrain,30.256,52.476,190.900,5133,0.006
TransportBrain,32.134,113.764,297.531,5121,-0.001
TransportBrain,31.531,178.733,357.856,5126,-0.001
TransportBrain,29.051,232.670,235.329,5124,0.012
TransportBrain,29.393,282.258,195.271,5123,0.029
TransportBrain,30.688,336.357,230.415,5134,0.002
TransportBrain,30.231,390.201,240.662,5136,0.002
TransportBrain,29.418,439.722,193.730,5128,0.037
TransportBrain,29.722,491.044,204.074,5122,0.002
TransportBrain,29.509,542.087,208.034,5123,0.037
TransportBrain,29.842,593.012,212.202,5130,-0.005
TransportBrain,31.305,648.241,251.016,5130,-0.005
TransportBrain,31.148,703.588,243.107,5135,0.002
TransportBrain,31.184,757.392,224.345,5128,0.002
TransportBrain,31.169,809.815,203.114,5121,0.002
TransportBrain,31.672,865.600,243.657,5128,0.002
TransportBrain,30.554,919.182,230.857,5144,-0.005
TransportBrain,30.763,972.571,226.937,5121,0.002
TransportBrain,30.695,1025.863,225.893,5130,-0.005
TransportBrain,31.972,1080.074,227.141,5140,-0.005
TransportBrain,31.703,1135.523,242.076,5125,-0.001
TransportBrain,31.063,1190.527,240.235,5141,0.002
TransportBrain,30.443,1243.003,214.714,5124,0.001
TransportBrain,31.725,1294.775,193.369,5130,0.003
TransportBrain,30.732,1346.919,216.181,5136,-0.012
TransportBrain,31.147,1399.053,206.839,5129,-0.001
TransportBrain,30.490,1448.451,175.799,5187,-0.014
TransportBrain,29.879,1498.151,196.618,5130,-0.015
TransportBrain,29.934,1547.715,197.672,5130,-0.015
TransportBrain,31.453,1600.693,216.779,5145,-0.015
TransportBrain,30.649,1654.546,236.270,5123,0.002
TransportBrain,29.003,1702.544,178.672,5140,-0.013
TransportBrain,30.569,1751.385,173.243,5130,-0.015
TransportBrain,30.774,1802.625,206.487,5130,-0.015
TransportBrain,32.554,1856.250,214.100,5130,-0.015
TransportBrain,30.771,1906.549,184.982,5130,-0.015
TransportBrain,34.014,1964.146,236.464,5126,0.002
TransportBrain,35.247,2023.501,263.505,5144,-0.011
TransportBrain,34.440,2082.776,260.344,5127,0.002
TransportBrain,33.560,2138.375,216.213,5150,-0.013
TransportBrain,34.676,2198.355,267.461,5129,0.002
TransportBrain,34.709,2256.596,247.112,5176,0.001
TransportBrain,33.244,2316.328,268.843,5129,-0.002
TransportBrain,33.105,2372.298,229.916,5165,0.007
TransportBrain,35.110,2428.620,203.777,5121,-0.014
